base,n_cats,diss_total,diss_net_of_age,diss_net_of_ten
consumption,39,13.876580141538623,14.262026332824448,9.99639668445754
ex_shelter,34,8.329473543374563,6.318761909314896,9.048692307864302
ex_housing,25,7.269602766463605,6.08361735142956,7.807782302624041
