basket,group,from,to,cum_pct,annualized
all_in,all_cu,2019-12-01,2026-07-01,24.8106071568295,3.424612251341208
all_in,families_kids,2019-12-01,2026-07-01,25.115707875401007,3.4629848907195004
all_in,single_other,2019-12-01,2026-07-01,25.899603011306095,3.561213050609058
all_in,married_kids,2019-12-01,2026-07-01,24.772971772879583,3.4198733239493295
all_in,single_parent,2019-12-01,2026-07-01,27.638718427775146,3.77729932806965
all_in,married_nokids,2019-12-01,2026-07-01,22.805891704736947,3.170480930970898
all_in,all_cu,2020-12-01,2026-07-01,23.313916099139796,3.827206816486317
all_in,families_kids,2020-12-01,2026-07-01,23.685472588084465,3.883204956309383
all_in,single_other,2020-12-01,2026-07-01,24.268257997732245,3.9707604007263697
all_in,married_kids,2020-12-01,2026-07-01,23.356830026951968,3.83368154220447
all_in,single_parent,2020-12-01,2026-07-01,26.10471323313832,4.244475649257451
all_in,married_nokids,2020-12-01,2026-07-01,21.390671442107244,3.5351166246633703
all_in,all_cu,2013-12-01,2026-07-01,35.06598245295718,2.418146980620106
all_in,families_kids,2013-12-01,2026-07-01,34.514687744255944,2.3848552244917665
all_in,single_other,2013-12-01,2026-07-01,37.6417237135501,2.5720529503737044
all_in,married_kids,2013-12-01,2026-07-01,33.99154986675275,2.3531474687457976
all_in,single_parent,2013-12-01,2026-07-01,38.33371924131901,2.6129492557641854
all_in,married_nokids,2013-12-01,2026-07-01,32.516862760482155,2.263148342691723
all_in,all_cu,2010-12-01,2026-07-01,43.867687846922344,2.361850210964489
all_in,families_kids,2010-12-01,2026-07-01,43.21030257627238,2.331766821454795
all_in,single_other,2010-12-01,2026-07-01,46.753516087812066,2.492408374680588
all_in,married_kids,2010-12-01,2026-07-01,42.66328483638819,2.306635421469694
all_in,single_parent,2010-12-01,2026-07-01,47.21184510924088,2.512922279769647
all_in,married_nokids,2010-12-01,2026-07-01,41.0464354976521,2.2318224962084354
ex_shelter,all_cu,2019-12-01,2026-07-01,24.0505768665777,3.32867588980974
ex_shelter,families_kids,2019-12-01,2026-07-01,24.694698829319073,3.4100135612158855
ex_shelter,single_other,2019-12-01,2026-07-01,24.689743783535633,3.409389215184766
ex_shelter,married_kids,2019-12-01,2026-07-01,24.464863030377003,3.381031602989748
ex_shelter,single_parent,2019-12-01,2026-07-01,26.607567857659518,3.649481808975108
ex_shelter,married_nokids,2019-12-01,2026-07-01,22.202918349390966,3.093355761710548
ex_shelter,all_cu,2020-12-01,2026-07-01,22.409863520642737,3.6903742917224314
ex_shelter,families_kids,2020-12-01,2026-07-01,23.113880238891603,3.7970015764251075
ex_shelter,single_other,2020-12-01,2026-07-01,23.06490264702927,3.7895998645237627
ex_shelter,married_kids,2020-12-01,2026-07-01,22.866112634664848,3.759532987746317
ex_shelter,single_parent,2020-12-01,2026-07-01,25.171506457610793,4.105797337837669
ex_shelter,married_nokids,2020-12-01,2026-07-01,20.469427478664915,3.3938564271405625
