variant,basket,group,method,from,to,cum
deep,exsh,01,tornqvist_ext,2019-12-01,2026-07-01,27.20411863664003
deep,exsh,01,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.148793176125886
deep,exsh,01,annual_avg_tornqvist,2014-07-01,2019-07-01,2.685923809966484
deep,exsh,01,annual_avg_lasp_lag2,2019-07-01,2024-07-01,21.088450428432104
deep,exsh,01,annual_avg_tornqvist,2019-07-01,2024-07-01,20.81833222305569
deep,exsh,03,lasp_lag2,2014-12-01,2019-12-01,5.3319176601756
deep,exsh,03,lasp_lag2,2019-12-01,2024-12-01,19.95221551332158
deep,exsh,03,lasp_lag2,2019-12-01,2026-07-01,26.691688249186086
deep,exsh,03,lasp_lag1,2014-12-01,2019-12-01,5.301804576292568
deep,exsh,03,lasp_lag1,2019-12-01,2024-12-01,20.41416720783442
deep,exsh,03,lasp_lag1,2019-12-01,2026-07-01,NA
deep,exsh,03,lasp_lag0,2014-12-01,2019-12-01,4.784650872528351
deep,exsh,03,lasp_lag0,2019-12-01,2024-12-01,19.918430457449965
deep,exsh,03,lasp_lag0,2019-12-01,2026-07-01,NA
deep,exsh,03,tornqvist,2014-12-01,2019-12-01,4.663503699863725
deep,exsh,03,tornqvist,2019-12-01,2024-12-01,19.637940081201123
deep,exsh,03,tornqvist,2019-12-01,2026-07-01,NA
deep,exsh,03,tornqvist_ext,2014-12-01,2019-12-01,4.663503699863725
deep,exsh,03,tornqvist_ext,2019-12-01,2024-12-01,19.637940081201123
deep,exsh,03,tornqvist_ext,2019-12-01,2026-07-01,26.23442256492652
deep,exsh,03,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.387945312274865
deep,exsh,03,annual_avg_tornqvist,2014-07-01,2019-07-01,2.8097697232945418
deep,exsh,03,annual_avg_lasp_lag2,2019-07-01,2024-07-01,20.24460976714122
deep,exsh,03,annual_avg_tornqvist,2019-07-01,2024-07-01,20.06513004332069
