variant,basket,group,method,from,to,cum
headline,oer,03,lasp_lag0,2014-12-01,2019-12-01,8.60876802345485
headline,oer,03,lasp_lag0,2019-12-01,2024-12-01,22.176475724907128
headline,oer,03,lasp_lag0,2019-12-01,2026-07-01,NA
headline,oer,03,tornqvist,2014-12-01,2019-12-01,8.44901428067526
headline,oer,03,tornqvist,2019-12-01,2024-12-01,21.896713733106843
headline,oer,03,tornqvist,2019-12-01,2026-07-01,NA
headline,oer,03,tornqvist_ext,2014-12-01,2019-12-01,8.44901428067526
headline,oer,03,tornqvist_ext,2019-12-01,2024-12-01,21.896713733106843
headline,oer,03,tornqvist_ext,2019-12-01,2026-07-01,28.677682455725993
headline,oer,03,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.611485714534094
headline,oer,03,annual_avg_tornqvist,2014-07-01,2019-07-01,7.235946048537678
headline,oer,03,annual_avg_lasp_lag2,2019-07-01,2024-07-01,22.198110895039736
headline,oer,03,annual_avg_tornqvist,2019-07-01,2024-07-01,21.83804367400097
headline,exsh,F1,lasp_lag2,2014-12-01,2019-12-01,5.266970718956654
headline,exsh,F1,lasp_lag2,2019-12-01,2024-12-01,20.66587118577403
headline,exsh,F1,lasp_lag2,2019-12-01,2026-07-01,27.480506938821826
headline,exsh,F1,lasp_lag1,2014-12-01,2019-12-01,5.331707431999844
headline,exsh,F1,lasp_lag1,2019-12-01,2024-12-01,20.835049706387764
headline,exsh,F1,lasp_lag1,2019-12-01,2026-07-01,NA
headline,exsh,F1,lasp_lag0,2014-12-01,2019-12-01,4.995141690649207
headline,exsh,F1,lasp_lag0,2019-12-01,2024-12-01,20.959367776425175
headline,exsh,F1,lasp_lag0,2019-12-01,2026-07-01,NA
headline,exsh,F1,tornqvist,2014-12-01,2019-12-01,4.780109699387669
headline,exsh,F1,tornqvist,2019-12-01,2024-12-01,20.432731406506566
headline,exsh,F1,tornqvist,2019-12-01,2026-07-01,NA
headline,exsh,F1,tornqvist_ext,2014-12-01,2019-12-01,4.780109699387669
headline,exsh,F1,tornqvist_ext,2019-12-01,2024-12-01,20.432731406506566
headline,exsh,F1,tornqvist_ext,2019-12-01,2026-07-01,27.10103055274551
headline,exsh,F1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.300289195751027
headline,exsh,F1,annual_avg_tornqvist,2014-07-01,2019-07-01,3.079435952429521
headline,exsh,F1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,20.869174274220835
headline,exsh,F1,annual_avg_tornqvist,2019-07-01,2024-07-01,20.778664002222524
headline,exsh,K1,lasp_lag2,2014-12-01,2019-12-01,5.196208950658221
headline,exsh,K1,lasp_lag2,2019-12-01,2024-12-01,20.422337801532308
headline,exsh,K1,lasp_lag2,2019-12-01,2026-07-01,27.223790708118067
headline,exsh,K1,lasp_lag1,2014-12-01,2019-12-01,5.281946926827863
headline,exsh,K1,lasp_lag1,2019-12-01,2024-12-01,20.88166602214998
headline,exsh,K1,lasp_lag1,2019-12-01,2026-07-01,NA
headline,exsh,K1,lasp_lag0,2014-12-01,2019-12-01,4.956225313944085
headline,exsh,K1,lasp_lag0,2019-12-01,2024-12-01,21.049275708698566
headline,exsh,K1,lasp_lag0,2019-12-01,2026-07-01,NA
headline,exsh,K1,tornqvist,2014-12-01,2019-12-01,4.7451481143172325
headline,exsh,K1,tornqvist,2019-12-01,2024-12-01,20.50630722512934
headline,exsh,K1,tornqvist,2019-12-01,2026-07-01,NA
headline,exsh,K1,tornqvist_ext,2014-12-01,2019-12-01,4.7451481143172325
headline,exsh,K1,tornqvist_ext,2019-12-01,2024-12-01,20.50630722512934
headline,exsh,K1,tornqvist_ext,2019-12-01,2026-07-01,27.159996098930694
headline,exsh,K1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.251212677720461
headline,exsh,K1,annual_avg_tornqvist,2014-07-01,2019-07-01,3.067710281816982
headline,exsh,K1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,20.58319165419835
headline,exsh,K1,annual_avg_tornqvist,2019-07-01,2024-07-01,20.821565103977058
headline,exsh,10,lasp_lag2,2014-12-01,2019-12-01,5.488727625271661
headline,exsh,10,lasp_lag2,2019-12-01,2024-12-01,20.90765548163207
headline,exsh,10,lasp_lag2,2019-12-01,2026-07-01,27.89278133396593
headline,exsh,10,lasp_lag1,2014-12-01,2019-12-01,5.446145830254356
headline,exsh,10,lasp_lag1,2019-12-01,2024-12-01,21.073770192027386
headline,exsh,10,lasp_lag1,2019-12-01,2026-07-01,NA
headline,exsh,10,lasp_lag0,2014-12-01,2019-12-01,5.073224324114367
headline,exsh,10,lasp_lag0,2019-12-01,2024-12-01,20.856146787918185
headline,exsh,10,lasp_lag0,2019-12-01,2026-07-01,NA
headline,exsh,10,tornqvist,2014-12-01,2019-12-01,4.872686187827013
headline,exsh,10,tornqvist,2019-12-01,2024-12-01,20.510986340208447
headline,exsh,10,tornqvist,2019-12-01,2026-07-01,NA
headline,exsh,10,tornqvist_ext,2014-12-01,2019-12-01,4.872686187827013
headline,exsh,10,tornqvist_ext,2019-12-01,2024-12-01,20.510986340208447
headline,exsh,10,tornqvist_ext,2019-12-01,2026-07-01,27.322721817960648
headline,exsh,10,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.461785108194726
headline,exsh,10,annual_avg_tornqvist,2014-07-01,2019-07-01,3.111739140546521
headline,exsh,10,annual_avg_lasp_lag2,2019-07-01,2024-07-01,21.16428831375261
headline,exsh,10,annual_avg_tornqvist,2019-07-01,2024-07-01,20.90729048803237
headline,exsh,01,lasp_lag2,2014-12-01,2019-12-01,5.3813452159732655
headline,exsh,01,lasp_lag2,2019-12-01,2024-12-01,20.556533829111757
headline,exsh,01,lasp_lag2,2019-12-01,2026-07-01,27.408189783748192
headline,exsh,01,lasp_lag1,2014-12-01,2019-12-01,5.403588183357533
headline,exsh,01,lasp_lag1,2019-12-01,2024-12-01,20.810907678863156
headline,exsh,01,lasp_lag1,2019-12-01,2026-07-01,NA
headline,exsh,01,lasp_lag0,2014-12-01,2019-12-01,5.039643763000634
headline,exsh,01,lasp_lag0,2019-12-01,2024-12-01,20.66615086702086
headline,exsh,01,lasp_lag0,2019-12-01,2026-07-01,NA
headline,exsh,01,tornqvist,2014-12-01,2019-12-01,4.841395479695265
headline,exsh,01,tornqvist,2019-12-01,2024-12-01,20.281516125102073
headline,exsh,01,tornqvist,2019-12-01,2026-07-01,NA
headline,exsh,01,tornqvist_ext,2014-12-01,2019-12-01,4.841395479695265
headline,exsh,01,tornqvist_ext,2019-12-01,2024-12-01,20.281516125102073
headline,exsh,01,tornqvist_ext,2019-12-01,2026-07-01,26.985244435540334
