characteristics_code,rent,lodging,food_home,vehicles,childcare,education,base,rentval,people,cons,size,shelter_share,food_home_share,vehicle_share,childcare_share,education_share,shelter_dollars,shelter_per_person
02,6986,722,3395,6219,138,818,37069,12144,1,49213,1 person,40.33893483429175,6.898583707556947,12.636904882856156,0.2804137118241115,1.662162436754516,19852,19852
04,4977,1773,6088,12685,150,1133,58776,20856,2,79632,2 people,34.666968053044,7.64516777175005,15.929525818766326,0.18836648583484025,1.4227948563391601,27606,13803
05,5244,1505,7597,14458,860,2585,66107,20340,3,86447,3 people,31.335963075641722,8.788043541129246,16.7246983700996,0.9948292017074045,2.990271495829815,27089,9029.666666666666
06,4789,1647,8697,17976,1696,2668,76353,24660,4,101013,4 people,30.7841564947086,8.609782899230792,17.795729262570163,1.6789918129349688,2.6412441962915665,31096,7774
07,5626,1206,10274,18186,1239,2458,75743,21288,5.7,97031,5 or more,28.980428935082603,10.588368665684163,18.74246374869887,1.2769115025095072,2.5332110356484012,28120,4933.333333333333
