variant,basket,g1,g2,from,to,cum1,cum2,gap,se_indep,se_persist,se_bound,z_indep,z_bound,p_indep,p_persist,p_bound,mean_gap_12m,label1,label2
headline,oer,F1,10,2019-12-01,2026-07-01,29.421613301772155,30.10770399629088,-0.6860906945187253,0.1839967571924109,0.11408522308938523,0.4286560133683287,-3.728819491102551,-1.6005623929721762,1.9237889102073684e-4,1.8117525880231906e-9,0.10947387732537803,-0.10540758729050584,"Families with children, headline (04 + 09)",Single person and other CUs
headline,oer,K1,10,2019-12-01,2026-07-01,29.271546615487743,30.10770399629088,-0.8361573808031366,0.20737606384840454,0.13414986877647614,0.48358416920460773,-4.032082417257095,-1.7290834441053688,5.528479088861327e-5,4.575589714366387e-10,0.08379416178787819,-0.12381023475565933,Families with children under 18 (05 + 06 + 09),Single person and other CUs
headline,oer,04,10,2019-12-01,2026-07-01,29.320207076877768,30.10770399629088,-0.7874969194131118,0.19280615633496448,0.1205140338717765,0.4494562078835622,-4.084397170622415,-1.752110451697496,4.419139014553663e-5,6.382959520304114e-11,0.07975481743166245,-0.11859015314515259,Married couple with children (any age),Single person and other CUs
headline,oer,05,10,2019-12-01,2026-07-01,29.556239634888115,30.10770399629088,-0.5514643614027648,0.3571489080741594,0.21037967362641607,0.8412133790210572,-1.5440740512869136,-0.655558239033857,0.12257039426181429,0.008759987768531667,0.5121084027366211,-0.06035971616416717,"Married, oldest child under 6",Single person and other CUs
headline,oer,06,10,2019-12-01,2026-07-01,28.93655332149214,30.10770399629088,-1.1711506747987386,0.25660428712680045,0.17198416660513485,0.5957304796232341,-4.564033936892165,-1.9659069241168008,5.017996181152946e-6,9.784163689253803e-12,0.04930936310004709,-0.17443716673662604,"Married, oldest child 6-17",Single person and other CUs
headline,oer,07,10,2019-12-01,2026-07-01,29.73577911126806,30.10770399629088,-0.37192488502282117,0.28245786341473644,0.14952047951744613,0.6416772751510834,-1.3167446660060556,-0.5796136148584211,0.18792422622910077,0.012866213098357377,0.5621752096299726,-0.06646915908843638,"Married, oldest child 18+",Single person and other CUs
headline,oer,09,10,2019-12-01,2026-07-01,30.245188290647572,30.10770399629088,0.13748429435669252,0.3760592337656375,0.1787051958723754,0.8473096338048384,0.3655921248894891,0.1622598031127301,0.7146694523351462,0.44169402468233065,0.8711012676135305,6.670425845007069e-4,"One parent, child under 18",Single person and other CUs
headline,exsh,F1,10,2019-12-01,2026-07-01,27.480506938821826,27.89278133396593,-0.4122743951441059,0.24270843828290142,0.14791991942141103,0.5613798185956357,-1.698640550204349,-0.7343947564332891,0.08938693114515456,0.005317453436791727,0.4627081816531868,-0.05043428191351119,"Families with children, headline (04 + 09)",Single person and other CUs
headline,exsh,K1,10,2019-12-01,2026-07-01,27.223790708118067,27.89278133396593,-0.6689906258478651,0.27262650095926066,0.1696702433710977,0.6311886667402297,-2.453872325302059,-1.0598901106746155,0.014132714948940974,8.050653592929587e-5,0.2891945952084017,-0.08433341232457414,Families with children under 18 (05 + 06 + 09),Single person and other CUs
headline,exsh,04,10,2019-12-01,2026-07-01,27.370198664803347,27.89278133396593,-0.5225826691625848,0.2532597917635297,0.15477221586053172,0.5862932887272234,-2.063425329080755,-0.8913331931481815,0.03907223549826035,7.342423149369339e-4,0.3727504463548515,-0.06236047169261691,Married couple with children (any age),Single person and other CUs
headline,exsh,05,10,2019-12-01,2026-07-01,27.596182526943934,27.89278133396593,-0.29659880702199715,0.47167219603471794,0.2639599177434924,1.107851943857611,-0.6288240212492102,-0.26772422855460376,0.5294642719960705,0.261161141040996,0.7889115987029529,-0.01134921306560826,"Married, oldest child under 6",Single person and other CUs
headline,exsh,06,10,2019-12-01,2026-07-01,26.813519612579316,27.89278133396593,-1.0792617213866151,0.3318130136687097,0.20981205034903538,0.7651295115922814,-3.2526202316590775,-1.4105608332118904,0.0011434620913605296,2.690278200378464e-7,0.1583741472219528,-0.1396194464466855,"Married, oldest child 6-17",Single person and other CUs
headline,exsh,07,10,2019-12-01,2026-07-01,28.011638040315255,27.89278133396593,0.1188567063493231,0.3625611695975232,0.19661952921549025,0.8195481394319273,0.32782525078806746,0.1450271199831032,0.7430437940618844,0.5455105899677133,0.8846894595009063,0.020739900193782794,"Married, oldest child 18+",Single person and other CUs
headline,exsh,09,10,2019-12-01,2026-07-01,28.44266221449887,27.89278133396593,0.5498808805329389,0.49142496799726143,0.24019931760193153,1.0954178146055629,1.1189518570330421,0.5019827806351128,0.2631606781295367,0.022063720714236627,0.6156796335712097,0.05465630647293963,"One parent, child under 18",Single person and other CUs
headline,oer,F1,K1,2019-12-01,2026-07-01,29.421613301772155,29.271546615487743,0.15006668628441133,0.09758643199973299,0.053495750835852514,0.2219125133680734,1.5377822839636348,0.6762425606685118,0.1241018566838349,0.00502841830909618,0.49888665461874704,0.0184026474651535,"Families with children, headline (04 + 09)",Families with children under 18 (05 + 06 + 09)
headline,exsh,F1,K1,2019-12-01,2026-07-01,27.480506938821826,27.223790708118067,0.25671623070375915,0.1259459020152047,0.06802700038571301,0.2841989118360135,2.0383055470337363,0.9032977256854797,0.041519385488821704,1.608181897252451e-4,0.3663679032745903,0.03389913041106289,"Families with children, headline (04 + 09)",Families with children under 18 (05 + 06 + 09)
