label,consumption,totalexp,with_shelter,without_shelter,old
Married couple with children,93513,113585,36.55213713601317,16.505726476532676,16.85521855878857
"One parent, child under 18",55026,61857,42.98331697742885,18.362228764584014,29.311153143540746
Single person and other CUs,48908,56587,43.29148605545105,16.38791199803713,27.322529909696573
All consumer units,66446,78535,39.02567498419769,16.496102097944195,21.163812312981474
Lowest income quintile,33557,35046,46.330124862174806,20.195488273683583,35.83290532443075
Highest income quintile,118032,150342,33.863697980208755,13.507353937915141,13.194583017387025
Renters,50115,57108,47.86590841065549,15.969270677441884,41.843524549975484
Homeowners,75272,90117,35.84334148156021,16.68482304176852,14.0783647924365
