variant,basket,g1,g2,from,to,cum1,cum2,gap,se_indep,se_persist,se_bound,z_indep,z_bound,p_indep,p_persist,p_bound,mean_gap_12m,label1,label2
headline,oer,F1,10,2019-12-01,2026-07-01,29.421613301772155,30.10770399629088,-0.6860906945187253,0.21067876665766572,0.12031262714884199,0.4822289756666671,-3.2565725792080498,-1.4227487959847818,0.001127660968458775,1.1801720631950176e-8,0.15480898964379136,-0.10540758729050584,"Families with children, headline (04 + 09)",Single person and other CUs
headline,oer,F1,01,2019-12-01,2026-07-01,29.421613301772155,29.61859385764809,-0.19698055587593544,0.12461533917001574,0.07123462428036914,0.2854153791667075,-1.5807087408973792,-0.6901539659531857,0.11394464886276694,0.005688160626436006,0.49009736895234457,-0.030690966707797848,"Families with children, headline (04 + 09)",All consumer units
headline,oer,F1,03,2019-12-01,2026-07-01,29.421613301772155,29.217896486072693,0.20371681569946176,0.24074480474982313,0.1392614458481341,0.5509737447189673,0.8461940265384332,0.36973960674545514,0.3974445137389738,0.14351194668884798,0.7115765178821021,0.027548080287558088,"Families with children, headline (04 + 09)","Married couple, no children"
headline,oer,F1,RF,2019-12-01,2026-07-01,29.421613301772155,29.740979901553665,-0.3193665997815103,0.19327452284355978,0.10995317117773545,0.4413489524646382,-1.65239885258965,-0.7236147225411136,0.09845326929511847,0.003677588405281045,0.46930230026921993,-0.04893076516986443,"Families with children, headline (04 + 09)",All CUs except 04 + 09
headline,oer,K1,10,2019-12-01,2026-07-01,29.271546615487743,30.10770399629088,-0.8361573808031366,0.23679553804523923,0.13867302121632602,0.5435657106697959,-3.531136556481021,-1.5382820593536,4.1377806770379977e-4,1.6425944554109608e-9,0.12397966439297906,-0.12381023475565933,Minor-child proxy (05 + 06 + 09),Single person and other CUs
headline,oer,K1,01,2019-12-01,2026-07-01,29.271546615487743,29.61859385764809,-0.34704724216034677,0.1658524477057255,0.0968457696278191,0.3797743640851095,-2.092506001335102,-0.913824825949999,0.03639327547067308,3.3901504288446683e-4,0.3608088992758699,-0.049093614172951425,Minor-child proxy (05 + 06 + 09),All consumer units
headline,oer,K1,03,2019-12-01,2026-07-01,29.271546615487743,29.217896486072693,0.05365012941505043,0.2639027190685416,0.15539893455722312,0.6061243096752517,0.20329509905927212,0.08851340980498705,0.838904385933444,0.7299129760987773,0.9294686266887744,0.009145432822404579,Minor-child proxy (05 + 06 + 09),"Married couple, no children"
headline,oer,K1,RK,2019-12-01,2026-07-01,29.271546615487743,29.74150451848918,-0.46995790300143625,0.21934144278095305,0.12798230396333093,0.5018106670822481,-2.142585993066359,-0.936524338420269,0.03214635687301516,2.4060903092957794e-4,0.3490032874386095,-0.06598648279790204,Minor-child proxy (05 + 06 + 09),All CUs except 05 + 06 + 09
headline,exsh,F1,10,2019-12-01,2026-07-01,27.480506938821826,27.89278133396593,-0.4122743951441059,0.2726194638728829,0.15612947478579203,0.6228380210452384,-1.5122705814444026,-0.6619287538872989,0.1304650417959855,0.008276107962025644,0.5080168829617405,-0.05043428191351119,"Families with children, headline (04 + 09)",Single person and other CUs
headline,exsh,F1,01,2019-12-01,2026-07-01,27.480506938821826,27.408189783748192,0.0723171550736339,0.1551572900115889,0.08787031110843002,0.35332443308839306,0.46608931535368037,0.2046763492734224,0.641151570905174,0.41050871158063784,0.837824999756735,0.006447807356279126,"Families with children, headline (04 + 09)",All consumer units
headline,exsh,F1,03,2019-12-01,2026-07-01,27.480506938821826,26.59436963105111,0.8861373077707171,0.30724716391872575,0.17209494103336515,0.6918577194118978,2.884118754649015,1.280808586661378,0.003925107049300525,2.617129930352397e-7,0.20026090727911033,0.09910175193064,"Families with children, headline (04 + 09)","Married couple, no children"
headline,exsh,F1,RF,2019-12-01,2026-07-01,27.480506938821826,27.384049366571574,0.09645757225025164,0.24637578985452516,0.13852647880390354,0.5593475495191633,0.39150588743807135,0.17244658054401113,0.6954233377225225,0.48623380893570883,0.8630864546631574,0.00862785555137511,"Families with children, headline (04 + 09)",All CUs except 04 + 09
headline,exsh,K1,10,2019-12-01,2026-07-01,27.223790708118067,27.89278133396593,-0.6689906258478651,0.30556301874195274,0.17554661723809056,0.6997697710909894,-2.1893703910970523,-0.9560153260191027,0.028569929903885585,1.3846170263228725e-4,0.3390644915182046,-0.08433341232457414,Minor-child proxy (05 + 06 + 09),Single person and other CUs
headline,exsh,K1,01,2019-12-01,2026-07-01,27.223790708118067,27.408189783748192,-0.18439907563012525,0.2085245323298206,0.11778712576247888,0.4750588255156984,-0.8843039884557256,-0.3881605092378854,0.3765321358084429,0.11745909328304853,0.6978972555083967,-0.027451323054783767,Minor-child proxy (05 + 06 + 09),All consumer units
headline,exsh,K1,03,2019-12-01,2026-07-01,27.223790708118067,26.59436963105111,0.6294210770669579,0.336820732848287,0.18988646780675777,0.7627545251662017,1.8687123911415093,0.8251948120921461,0.061662839143319464,9.173391743999943e-4,0.4092609983082807,0.0652026215195771,Minor-child proxy (05 + 06 + 09),"Married couple, no children"
headline,exsh,K1,RK,2019-12-01,2026-07-01,27.223790708118067,27.480785932167095,-0.2569952240490281,0.2789428735276691,0.15739692487952395,0.6350490030288009,-0.9213184792962134,-0.40468565862369016,0.35688417598164207,0.10251437522444799,0.6857085852598852,-0.03752569448652286,Minor-child proxy (05 + 06 + 09),All CUs except 05 + 06 + 09
deep,oer,F1,10,2019-12-01,2026-07-01,29.803315830952926,30.46604496295744,-0.6627291320045146,0.2700658210024006,0.1264168703414805,0.588244061554247,-2.453954112166691,-1.12662273249893,0.014129501064673282,1.5849225121103722e-7,0.25990202362275255,-0.10632713050490933,"Families with children, headline (04 + 09)",Single person and other CUs
deep,oer,F1,01,2019-12-01,2026-07-01,29.803315830952926,29.926861572296403,-0.12354574134347729,0.1572356930922761,0.07337518867345703,0.34373650471742745,-0.785735979622468,-0.3594199034665797,0.43202217985604396,0.09222928925760938,0.7192809873319532,-0.02446205696230737,"Families with children, headline (04 + 09)",All consumer units
deep,oer,F1,03,2019-12-01,2026-07-01,29.803315830952926,29.31167804997996,0.4916377809729653,0.29577535069619965,0.14335074621663235,0.6507056788403709,1.6621999764880415,0.7555455514836107,0.09647268474933977,6.044396071126687e-4,0.4499217116240792,0.05790035580237765,"Families with children, headline (04 + 09)","Married couple, no children"
deep,oer,F1,RF,2019-12-01,2026-07-01,29.803315830952926,30.011103711523045,-0.20778788057011965,0.24384281253871976,0.11295608953846978,0.5315243816168765,-0.8521386314682745,-0.3909282203349487,0.3941371527626777,0.06583497333505765,0.6958502937383746,-0.03955587266837259,"Families with children, headline (04 + 09)",All CUs except 04 + 09
deep,oer,K1,10,2019-12-01,2026-07-01,29.726285742605498,30.46604496295744,-0.7397592203519423,0.30388414182897644,0.14031913876878901,0.6617329054922825,-2.434346247552045,-1.1179120974823125,0.014918716469194859,1.3496226642087005e-7,0.263604537766268,-0.11652403372772095,Minor-child proxy (05 + 06 + 09),Single person and other CUs
deep,oer,K1,01,2019-12-01,2026-07-01,29.726285742605498,29.926861572296403,-0.20057582969090504,0.20983156172812603,0.09549187214258448,0.4569834478835225,-0.9558897052426583,-0.43891267970394515,0.33912796065157935,0.03568934191186613,0.6607248087925192,-0.03465896018511899,Minor-child proxy (05 + 06 + 09),All consumer units
deep,oer,K1,03,2019-12-01,2026-07-01,29.726285742605498,29.31167804997996,0.41460769262553754,0.32694507499103387,0.1557487465077819,0.7174369738778732,1.2681264357229045,0.5779012062683498,0.20475280235808957,0.007767116753270914,0.5633308208601688,0.04770345257956601,Minor-child proxy (05 + 06 + 09),"Married couple, no children"
deep,oer,K1,RK,2019-12-01,2026-07-01,29.726285742605498,30.002591733311455,-0.27630599070595707,0.2774811532412816,0.12628060738843086,0.603675528856279,-0.9957648924202694,-0.45770613102281155,0.31936439196877137,0.028667282554619068,0.6471635826447396,-0.046900040835524126,Minor-child proxy (05 + 06 + 09),All CUs except 05 + 06 + 09
deep,exsh,F1,10,2019-12-01,2026-07-01,27.965601557529652,28.389651909373125,-0.42405035184347284,0.3605045607682083,0.16653887339802828,0.77831010483682594,-1.1762690350986218,-0.5448346991876403,0.23948738536174125,0.010888577877703469,0.5858672113248705,-0.05653246975351005,"Families with children, headline (04 + 09)",Single person and other CUs
deep,exsh,F1,01,2019-12-01,2026-07-01,27.965601557529652,27.80934461691502,0.15625694061463236,0.20166170220515645,0.09138204217643935,0.43490113297892963,0.7748468792337552,0.3592930180345214,0.43843014443466066,0.08727872655244723,0.7193758969152255,0.013471410912095184,"Families with children, headline (04 + 09)",All consumer units
deep,exsh,F1,03,2019-12-01,2026-07-01,27.965601557529652,26.691688249186086,1.273913308343566,0.3899655235486618,0.17608851193369207,0.8362416434244583,3.266733163360276,1.5233794183303486,0.0010879617462705338,4.672284025415476e-13,0.1276638081903675,0.1412057487077317,"Families with children, headline (04 + 09)","Married couple, no children"
deep,exsh,F1,RF,2019-12-01,2026-07-01,27.965601557529652,27.739444298123917,0.22615725940573483,0.3205526713506282,0.14343739632065933,0.688977396416466,0.705522928424947,0.3282506227084257,0.4804848683174689,0.11486534617840204,0.742722174909289,0.01936116144601782,"Families with children, headline (04 + 09)",All CUs except 04 + 09
deep,exsh,K1,10,2019-12-01,2026-07-01,27.807985170259887,28.389651909373125,-0.5816667391132384,0.4040052019602803,0.18035434250743645,0.8717255510973501,-1.4397506177913642,-0.6672590224997096,0.1499379669351137,0.0012591416494765455,0.5046066960537203,-0.07898466755430894,Minor-child proxy (05 + 06 + 09),Single person and other CUs
deep,exsh,K1,01,2019-12-01,2026-07-01,27.807985170259887,27.80934461691502,-0.0013594466551332118,0.2713615958096831,0.11685007427997252,0.5835775826036549,-0.00500972383758624,-0.00232950458629337,0.9960028354158059,0.9907175323979601,0.9981413259373214,-0.008980786888703709,Minor-child proxy (05 + 06 + 09),All consumer units
deep,exsh,K1,03,2019-12-01,2026-07-01,27.807985170259887,26.691688249186086,1.1162969210738005,0.4304994476568698,0.18920797167040085,0.9231019815585568,2.593027533832161,1.2092888363093481,0.00951351538433578,3.6385236126971987e-9,0.22655189826119432,0.11875355090693283,Minor-child proxy (05 + 06 + 09),"Married couple, no children"
deep,exsh,K1,RK,2019-12-01,2026-07-01,27.807985170259887,27.81976585086361,-0.011780680603724392,0.36316447186176554,0.1561906261589194,0.7800859545794985,-0.03243896778594734,-0.015101772483616514,0.9741219870293005,0.9398765553617375,0.9879509868863872,-0.012756864620720447,Minor-child proxy (05 + 06 + 09),All CUs except 05 + 06 + 09
