group,year,link_lasp_lag2,link_lasp_lag0,link_tornqvist,shelter_w_lag2,shelter_w_lag0,shelter_w_tornqvist
F1,2015,0.572233059369065,0.4962024973078183,0.31874858876956846,28.576327654815753,26.693549007603636,27.008962198269593
F1,2016,1.9329066255948435,1.907476090426008,1.8883718571071073,28.260107467830686,27.981620276333647,27.59926413976988
F1,2017,1.934778706399709,1.8160349300093692,1.8383363779105544,27.88771689899624,27.24758085070458,27.79541792634675
F1,2018,1.8105116583039704,1.7838107738488818,1.764458271557312,28.79870040100358,28.098536639002813,27.768154910497977
F1,2019,2.110104580103256,2.0515714598094537,2.066962447659959,27.985035412494526,27.46658911544047,27.88461232036842
F1,2020,1.251265102867971,1.405952225534346,1.2801287980561682,28.789083277743856,29.620724652396312,28.69105065866181
F1,2021,7.7197003079579,7.604435145644972,7.569950398936309,27.891102427041186,29.497808115608105,29.377348069034838
F1,2022,6.216412029465079,6.372942206431298,6.2401963686216755,28.808186151463733,30.091289001156202,29.383262295674704
F1,2023,2.9974389815545788,3.0010246657163675,2.944972420762504,29.01735855179059,29.779688785904145,29.975396985965286
F1,2024,2.7134649086210327,2.6517690043816433,2.600632270477621,31.243032694726097,30.358962140411847,30.388048004079604
K1,2015,0.6149431064323974,0.5338694736945593,0.36526567874952676,29.09047527654529,27.294020406586,27.512778678877005
K1,2016,1.9118103487468785,1.8966344405226154,1.8812042258766981,28.68303479404064,28.240993785405234,28.028042564245588
K1,2017,1.9378238464440978,1.7931162559136071,1.823586821634482,28.514066440724594,27.49792401423067,28.052515313200853
K1,2018,1.8192196546717998,1.7999050525370208,1.7736520214248763,29.08067273773091,28.451641499268977,28.068870540430606
K1,2019,2.102915485435375,2.0785923221695812,2.0828289367359254,28.254184611569716,27.864336387462625,28.25509929124496
K1,2020,1.2800986618554555,1.447120721671591,1.3036666822968446,29.161105696732598,30.445035948051625,29.299342572502262
K1,2021,7.532709086919365,7.582371379335084,7.530045526320239,28.305295210599745,29.717839248589318,29.888623496924904
K1,2022,6.217036396257947,6.4130638420416775,6.257059346282912,29.597550748391686,30.549894090474933,29.714202086138403
K1,2023,3.0101375016523324,3.027225590114413,2.9888721781608396,29.228784376985885,30.301638148255638,30.47078607708636
K1,2024,2.7422872001442,2.658773379463253,2.6164203034366285,31.715935421322115,30.60169966903433,30.772690942250904
10,2015,0.7945817294253477,0.6331096547944615,0.5071018737488941,34.127058502121876,32.239583231468686,33.23301299171918
10,2016,2.1775206246209544,2.122674673433389,2.102325900319557,35.369720473075084,33.46339372484527,33.125481028960166
10,2017,2.132898301360786,2.0338957683728065,2.0434805070273843,33.620360020678646,33.41060586846718,33.603183226006635
10,2018,1.9524259029464641,1.9321003188108588,1.9117320939820992,34.37621061900365,34.15506808592457,33.85966301980132
10,2019,2.283497994525807,2.215224856303788,2.236143115047362,34.253512397714324,33.66766973197978,33.99879893591104
10,2020,1.386793402754094,1.5086797612344771,1.39692051552196,34.95904987031068,35.911400139932155,34.94759249457364
10,2021,7.138811197250483,6.987510458007851,6.940472706969114,34.18949625542963,36.30911124778061,35.86898866138693
10,2022,6.573460946577003,6.664548539128723,6.601956980763646,35.03980275221513,36.236038271146384,35.75628692431971
10,2023,3.444499178522764,3.3320406413087866,3.2990981875403502,35.690248236217755,36.025532626230884,36.143172569989865
10,2024,2.8980081556910786,2.81535031993283,2.7774105720406617,37.53042301669644,37.12479166292505,36.882605250969014
