base,cat_id,major,cat_label,item_code,share_fam,share_single,share_all,gap_total,gap_age_pred,gap_net_of_age,gap_tenure_pred,gap_net_of_ten
consumption,01,Food,Food at home,FOODHOME,9.903533076398352,8.832549580862809,9.366863816274625,1.0709834955355433,0.4021466098305737,0.6688368857049696,-0.16614824291136318,1.2371317384469065
consumption,02,Food,Food away from home,FOODAWAY,6.391138714455482,5.3608668983847885,5.937062621337306,1.0302718160706936,0.3940177769329809,0.6362540391377127,-0.003537954188510075,1.0338097702592037
consumption,03,Alcohol,Alcoholic beverages,ALCBEVG,0.7913121208128053,0.9241463913310162,0.9676885337186028,-0.13283427051821084,-0.0030694088006858466,-0.129764861717525,0.022269841944687944,-0.1551041124628988
consumption,04,Housing,Owned dwellings: mortgage interest and charges,OWNMORTG,7.15638549795572,4.076875894500102,5.4870799283639595,3.0795096034556186,0.883353595728182,2.1961560077274367,1.7438548399636526,1.335654763491966
consumption,05,Housing,Owned dwellings: property taxes,220211,4.367468757014579,3.461459824166837,4.120577302210784,0.9060089328477416,-0.5386996987468651,1.4447086315946067,1.3091039762498373,-0.4030950434020957
consumption,06,Housing,"Owned dwellings: maintenance, repairs, insurance",OWNEXPEN,3.909637968723448,4.140257616029442,4.403509564013424,-0.2306196473059936,-1.2735160757686925,1.042896428462699,1.379064068184992,-1.6096837154909855
consumption,07,Housing,Rented dwellings,RNTDWELL,5.101714334527758,15.223880597014926,8.518067030866705,-10.122166262487168,1.9806712252574483,-12.102837487744615,-7.434000344975427,-2.688165917511741
consumption,08,Housing,Other lodging,OTHLODGE,1.8562969725981326,1.5048047434062564,2.0271795566391257,0.3514922291918763,-0.45749452506746646,0.8089867542593427,0.30605150205940673,0.04544072713246955
consumption,09,Utilities,Natural gas,NATRLGAS,0.7051685317309732,0.7953383766101002,0.7419447078122413,-0.09016984487912705,-0.04166051879054411,-0.04850932608858294,0.07828250079660581,-0.16845234567573286
consumption,10,Utilities,Electricity,ELECTRIC,2.5570194104322592,3.042322633408301,2.758589552575737,-0.48530322297604167,-0.0743888832106161,-0.4109143397654256,0.051026075888290744,-0.5363292988643324
consumption,11,Utilities,Fuel oil and other fuels,OTHRFUEL,0.1591296714425139,0.1901451645880188,0.1881198549219679,-0.03101549314550492,-0.03766006658383547,0.006644573438330553,0.04758061102736438,-0.0785961041728693
consumption,12,Utilities,Telephone services,PHONE,2.177770789324528,2.2674299734205685,2.1972399054885847,-0.08965918409604035,-0.09492390824240138,0.005264724146361033,-0.024803927067710455,-0.0648552570283299
consumption,13,Utilities,Water and other public services,WATER,1.2015488103749652,1.259456143937845,1.2430960013243637,-0.057907333562879915,-0.05332294216929756,-0.004584391393582354,0.18280779869990807,-0.24071513226278798
consumption,14,Household ops,Personal services (childcare proxy),HHPERSRV,1.7885002471314808,0.33735432426906564,0.8232124851385315,1.4511459228624153,0.8531157463290474,0.5980301765333679,0.08170478709732307,1.3694411357650922
consumption,15,Household ops,Other household expenses,HHOTHXPN,1.8539385176994767,2.2224493968513594,2.067813445302271,-0.36851087915188274,-0.04972965784419414,-0.3187812213076886,0.18177222936097007,-0.5502831085128528
consumption,16,Household ops,Housekeeping supplies,HKPGSUPP,1.2603294393768525,1.2553670006133715,1.3198489021325266,0.004962438763481014,-0.016766446270766622,0.021728885034247636,0.08139655597967448,-0.07643411721619346
consumption,17,Household ops,Household furnishings and equipment,HHFURNSH,3.4799786816092313,3.4675935391535475,3.6329706382530436,0.012385142455683784,-0.1369771485012805,0.1493622909569643,0.2839352008952306,-0.2715500584395468
consumption,18,Apparel,Apparel: men and boys,MENBOYS,0.812933380540489,0.6195052136577387,0.7028157779884721,0.19342816688275033,0.05971882004216145,0.13370934684058888,-0.035943124515651015,0.22937129139840134
consumption,19,Apparel,Apparel: women and girls,WMNSGRLS,1.2627921124000714,0.9609486812512779,1.119689376495553,0.30184343114879353,0.13037866103495666,0.17146477011383687,0.004829468561433461,0.29701396258736007
consumption,20,Apparel,Apparel: children under 2,INFANT,0.22960242094191854,0.03475771825802494,0.11588183063193222,0.1948447026838936,0.06899281028279008,0.1258518924011035,-0.00677390610695331,0.2016186087908469
consumption,21,Apparel,Footwear,FOOTWEAR,0.7690325667342345,0.6931097934982621,0.6937860249522175,0.07592277323597241,0.07527048514285817,6.522880931142394e-4,-0.06289377360932617,0.1388165468452986
consumption,22,Apparel,Other apparel products and services,OTHAPPRL,0.2950292552405023,0.3905131874872214,0.37924962752268726,-0.09548393224671914,-0.0616005981261446,-0.03388333412057454,-0.041329359586560074,-0.054154572660159064
consumption,23,Transport,Vehicle purchases (net outlay),VEHPURCH,8.753961354385753,7.100797382948272,8.031965325748342,1.6531639714374808,-0.01412589941409692,1.6672898708515778,0.5527497337148611,1.1004142377226196
consumption,24,Transport,Gasoline and other fuels,GASFUEL,4.284320934935931,3.762011858515641,3.9806161301488405,0.5223090764202896,-0.022683148724852664,0.5449922251451422,0.002701083213154473,0.5196079932071351
consumption,25,Transport,Other vehicle expenses,VEHOTHXP,6.524717617699237,6.25638928644449,6.329856878414375,0.26832833125474753,-0.28709322062873976,0.5554215518834873,0.051345321507731245,0.2169830097470163
consumption,26,Transport,Public and other transportation,PUBTRANS,1.4835686318040642,1.686771621345328,1.7021084473339654,-0.20320298954126392,-0.09334809122103915,-0.10985489832022477,0.02862709000341886,-0.2318300795446828
consumption,27,Health,Health insurance,HLTHINSR,5.432704450609994,5.6082600695154365,6.102608093668638,-0.17555561890544258,-0.3847361968312839,0.20918057792584133,0.46950252901604417,-0.6450581479214867
consumption,28,Health,Medical services,MEDSERVS,1.8680190542312183,1.8544264976487426,1.8842084668984302,0.013592556582475712,-0.0725159294535811,0.08610848603605681,0.16944883239959724,-0.15585627581712153
consumption,29,Health,Drugs,DRUGS,0.7936820119808737,0.9793498262114088,0.9902629163092389,-0.18566781423053502,-0.1592176465966495,-0.026450167633885524,0.06927418148549513,-0.25494199571603016
consumption,30,Health,Medical supplies,MEDSUPPL,0.263125245572226,0.28215088938867305,0.35065540957454816,-0.019025643816447058,-0.06157415572351843,0.042548511907071374,0.03640488391863072,-0.05543052773507778
consumption,31,Entertainment,Fees and admissions,FEESADM,1.7984247551451082,1.0038846861582498,1.4071365148163197,0.7945400689868585,0.19556617715663882,0.5989738918302197,0.1536105536008874,0.6409295153859711
consumption,32,Entertainment,Audio and visual equipment and services,TVAUDIO,1.1604613818539096,1.6520139030873031,1.452285279997592,-0.49155252123339355,-0.164793056813604,-0.32675946441978954,0.04217977533780069,-0.5337322965711943
consumption,33,Entertainment,"Pets, toys, hobbies, and playground equipment",PETSPLAY,1.7003688895033513,1.4087098752811287,1.6088009992926693,0.2916590142222226,-0.09581252929082429,0.3874715435130469,0.1873972473351654,0.10426176688705721
consumption,34,Entertainment,"Other entertainment supplies, equipment, services",ENTEROTH,0.9005937402961244,0.8771212430995706,0.9631736572004755,0.023472497196553754,0.051029433412188685,-0.02755693621563493,0.13102395257771923,-0.10755145538116548
consumption,35,Personal care,Personal care products and services,PERSCARE,1.4896417949400387,1.431200163565733,1.4718497449094767,0.05844163137430569,0.058979030311153036,-5.373989368473442e-4,0.021488899398171092,0.0369527319761346
consumption,36,Reading,Reading,READING,0.19508375873624884,0.16356573297894092,0.1881198549219679,0.031518025757307916,0.007643316161688951,0.023874709595618965,0.012635289166968247,0.01888273659033967
consumption,37,Education,Education,EDUCATN,3.3296228026423615,1.782866489470456,2.3612804189805408,1.5467563131719055,-0.5888609565197873,2.135617269691693,0.07669016494819235,1.4700661482237132
consumption,38,Tobacco,Tobacco products and smoking supplies,TOBACCO,0.34281818011285153,0.7728480883254958,0.5297455114602616,-0.43002990821264425,-0.040223917470371684,-0.38980599074227257,-0.04544974538571526,-0.384580162826929
consumption,39,Miscellaneous,Miscellaneous,MISC,1.6486241180849168,2.3164996933142508,1.833039866359655,-0.6678755752293339,-0.33608906081153234,-0.3317865144178016,0.062121384014002363,-0.7299969592433363
