cat_id,major,cat_label,in_cpi_scope,all_cu,families_kids,married_kids,married_nokids,single_other,single_parent
01,Food,Food at home,TRUE,7.925128923409945,8.218772612129875,8.114627811770921,7.3449321772074825,7.634262286390867,9.159836396850801
02,Food,Food away from home,TRUE,5.023238046730757,5.303896641883324,5.259497292776335,5.039069987709586,4.633573082156679,5.705094007145513
03,Alcohol,Alcoholic beverages,TRUE,0.8187432355000955,0.6566963866341606,0.6594180569617467,1.1253058509138882,0.798770035520526,0.632103076450523
04,Housing,Owned dwellings: mortgage interest and charges,FALSE,4.642516075635067,5.938961851161094,6.133732447066074,4.208057550712055,3.5237775460794882,4.1789934849734065
05,Housing,Owned dwellings: property taxes,FALSE,3.4863436684280895,3.6244875770676432,3.7540168156006515,4.095301453426094,2.9918532525138284,2.4540472379843834
06,Housing,"Owned dwellings: maintenance, repairs, insurance",PARTIAL,3.7257273826956134,3.2445416411304646,3.349914161200863,4.690653647095966,3.578560446745719,2.2923840470763213
07,Housing,Rented dwellings,TRUE,7.206977780607373,4.233825416047973,3.2662763569133246,3.517990235321975,13.158499301959814,12.97670433419015
08,Housing,Other lodging,TRUE,1.715158846374228,1.5405090890974742,1.5644671391468945,2.622706822871447,1.3006520932369625,1.324021533537029
09,Utilities,Natural gas,TRUE,0.6277455911377093,0.5852072963070336,0.579301844433684,0.60324512047989,0.6874370438439924,0.6385696040868455
10,Utilities,Electricity,TRUE,2.333991214108359,2.122026648169476,2.009068098780649,2.2246777994520053,2.6295792319790765,3.1427324312527283
11,Utilities,Fuel oil and other fuels,TRUE,0.15916470363532184,0.13205899100249063,0.1355812827397984,0.20634365803330815,0.16434870199869228,0.10023117836299852
12,Utilities,Telephone services,TRUE,1.859043738460559,1.8072947079312558,1.7625566756173792,1.7285509713937781,1.9598140915758036,2.21155245162229
13,Utilities,Water and other public services,TRUE,1.0517603616222067,0.9971447945563241,0.9878064885328168,1.0734380461623463,1.0885892519483273,1.0815267471749357
14,Household ops,Personal services (childcare proxy),TRUE,0.6965047431081683,1.4842457468983843,1.5230884359730599,0.15560341425462582,0.2915864067718734,1.1332589682655156
15,Household ops,Other household expenses,TRUE,1.7495384223594577,1.5385518477394167,1.4993176915966016,1.8728787759198078,1.9209359040062206,1.8930759655334077
16,Household ops,Housekeeping supplies,TRUE,1.116699560705418,1.0459258325997867,1.0564775278425849,1.2087453629054992,1.0850548712601835,0.9505795625394055
17,Household ops,Household furnishings and equipment,TRUE,3.0737887566053352,2.887974751896042,2.888585640709601,3.4616121866789946,2.9971548235460443,2.882454693890748
