cat_id,major,cat_label,in_cpi_scope,share_raw_all_cu,share_raw_families_kids,share_raw_single_other,dollars_all_cu,dollars_families_kids,dollars_single_other,gap_pp,gap_vs_all_pp,dollar_ratio
41,Out of scope,Personal insurance and pensions,FALSE,12.474692812121983,14.868814654764508,10.362804177637974,9797,15589.739631020588,5864,4.506010477126534,2.394121842642525,2.6585504145669487
04,Housing,Owned dwellings: mortgage interest and charges,FALSE,4.642516075635067,5.938961851161094,3.5237775460794882,3646,6226.916609556183,1994,2.415184305081606,1.2964457755260277,3.122826785133492
37,Education,Education,PARTIAL,1.9978353600305596,2.763196981115372,1.5409899800307492,1569,2897.1725376243867,872,1.2222070010846227,0.7653616210848122,3.322445570670168
14,Household ops,Personal services (childcare proxy),TRUE,0.6965047431081683,1.4842457468983843,0.2915864067718734,547,1556.2104498478577,165,1.1926593401265109,0.7877410037902159,9.43157848392641
23,Transport,Vehicle purchases (net outlay),PARTIAL,6.795696186413701,7.264762713675318,6.137452064961917,5337,7616.999862934839,3473,1.1273106487134008,0.46906652726161724,2.1932046826763143
02,Food,Food away from home,TRUE,5.023238046730757,5.303896641883324,4.633573082156679,3945,5561.059815236164,2622,0.6703235597266453,0.2806585951525671,2.1209228891060885
05,Housing,Owned dwellings: property taxes,FALSE,3.4863436684280895,3.6244875770676432,2.9918532525138284,2738,3800.223416212067,1693,0.6326343245538149,0.13814390863955373,2.2446682907336486
31,Entertainment,Fees and admissions,TRUE,1.1905519831922073,1.492481926251958,0.8676904589393324,935,1564.8459661723184,491,0.6247914673126256,0.3019299430597506,3.1870589942409744
01,Food,Food at home,TRUE,7.925128923409945,8.218772612129875,7.634262286390867,6224,8617.265604868555,4320,0.5845103257390081,0.2936436887199303,1.9947374085343876
24,Transport,Gasoline and other fuels,TRUE,3.36792512892341,3.5554846225072323,3.2516302330924063,2645,3727.874804682146,1840,0.303854389414826,0.1875594935838225,2.0260189155881227
08,Housing,Other lodging,TRUE,1.715158846374228,1.5405090890974742,1.3006520932369625,1347,1615.2017599166643,736,0.23985699586051168,-0.1746497572767538,2.194567608582424
19,Apparel,Apparel: women and girls,TRUE,0.9473483160374355,1.0479695627958414,0.8305794617138212,744,1098.7811069382385,470,0.21739010108202017,0.10062124675840589,2.3378321424217843
33,Entertainment,"Pets, toys, hobbies, and playground equipment",TRUE,1.3611765454892724,1.4111070414731368,1.2175941470655804,1069,1479.525562652485,689,0.19351289440755637,0.049930495983864454,2.1473520502938825
20,Apparel,Apparel: children under 2,TRUE,0.09804545743935825,0.1905431197491819,0.03004223584922332,77,199.78173743797802,17,0.16050088389995856,0.09249766230982365,11.751866908116355
18,Apparel,Apparel: men and boys,TRUE,0.5946393327815623,0.6746395000583103,0.5354586742538039,467,707.3498725294005,303,0.13918082580450641,0.08000016727674797,2.3344880281498366
21,Apparel,Footwear,TRUE,0.5869994270070669,0.6382069659941867,0.5990775266403945,461,669.1508813289838,339,0.039129439353792206,0.05120753898711983,1.9738964051002472
36,Reading,Reading,TRUE,0.15916470363532184,0.1618966727332756,0.1413752275257568,125,169.74634721346527,80,0.020521445207518807,0.002731969097953757,2.1218293401683157
25,Transport,Other vehicle expenses,PARTIAL,5.355573947921309,5.414751487630695,5.407602452860197,4206,5677.289536445626,3060,0.007149034770497664,0.05917753970938566,1.8553233779234073
35,Personal care,Personal care products and services,TRUE,1.245304641242758,1.2362282320553055,1.237033240850372,978,1296.1676306916308,700,-8.050087950663976e-4,-0.00907640918745245,1.851668043845187
34,Entertainment,"Other entertainment supplies, equipment, services",TRUE,0.8149232826128477,0.7473873324097805,0.7581246576068709,640,783.6249348940486,429,-0.010737325197090364,-0.06753595020306724,1.826631549869577
30,Health,Medical supplies,TRUE,0.2966830075762399,0.21836313820394948,0.24387226748193047,233,228.95062912908796,138,-0.02550912927798099,-0.07831986937229041,1.6590625299209272
11,Utilities,Fuel oil and other fuels,TRUE,0.15916470363532184,0.13205899100249063,0.16434870199869228,125,138.46196441788427,93,-0.03228971099620165,-0.027105712632831208,1.4888383270740244
16,Household ops,Housekeeping supplies,TRUE,1.116699560705418,1.0459258325997867,1.0850548712601835,877,1096.6382850407083,614,-0.03912903866039685,-0.07077372810563132,1.786055838828515
28,Health,Medical services,TRUE,1.5941936716113834,1.5502370440343594,1.6028416420732676,1252,1625.4013816168206,907,-0.05260459803890827,-0.04395662757702401,1.7920632652886666
13,Utilities,Water and other public services,TRUE,1.0517603616222067,0.9971447945563241,1.0885892519483273,826,1045.4920639271909,616,-0.09144445739200324,-0.05461556706588255,1.69722737650518
22,Apparel,Other apparel products and services,TRUE,0.3208760425288088,0.24483972982594823,0.33753335571774434,252,256.71095698895255,191,-0.09269362589179611,-0.07603631270286057,1.3440364240259295
09,Utilities,Natural gas,TRUE,0.6277455911377093,0.5852072963070336,0.6874370438439924,493,613.5814852380822,389,-0.10222974753695879,-0.04253829483067573,1.5773302962418567
17,Household ops,Household furnishings and equipment,TRUE,3.0737887566053352,2.887974751896042,2.9971548235460443,2414,3028.0002467172894,1696,-0.10918007165000221,-0.1858140047092931,1.7853775039606659
03,Alcohol,Alcoholic beverages,TRUE,0.8187432355000955,0.6566963866341606,0.798770035520526,643,688.5367745826366,452,-0.1420736488863653,-0.1620468488659349,1.5233114481916739
12,Utilities,Telephone services,TRUE,1.859043738460559,1.8072947079312558,1.9598140915758036,1460,1894.9226678362893,1109,-0.15251938364454776,-0.05174903052930313,1.708676887138223
29,Health,Drugs,TRUE,0.8378429999363342,0.6586631187564845,0.8464841748104688,658,690.5988651004687,479,-0.18782105605398425,-0.17917988117984962,1.4417512841345903
26,Transport,Public and other transportation,TRUE,1.440122238492392,1.2311882179042046,1.457932033859367,1131,1290.8832478960499,825,-0.22674381595516246,-0.20893402058818733,1.564706967146727
06,Housing,"Owned dwellings: maintenance, repairs, insurance",PARTIAL,3.7257273826956134,3.2445416411304646,3.578560446745719,2926,3401.8555333205404,2025,-0.33401880561525443,-0.4811857415651488,1.6799286584298965
27,Health,Health insurance,PARTIAL,5.16330298592984,4.5085084488562694,4.847403113789386,4055,4727.106664108117,2743,-0.3388946649331164,-0.6547945370735704,1.7233345476150628
15,Household ops,Other household expenses,TRUE,1.7495384223594577,1.5385518477394167,1.9209359040062206,1374,1613.1496203295046,1087,-0.38238405626680394,-0.210986574620041,1.4840382891715773
