major,cex,cpi,diff
Housing,16.53763548274312,13.463795370671493,3.073840112071627
Food,16.930556249271596,19.064519321861347,-2.1339630725897507
Miscellaneous,2.027870735727486,0.7748540078899369,1.2530167278375492
Entertainment,6.008690874581689,7.175883375988009,-1.16719250140632
Health,10.319164876879276,11.308909407123569,-0.9897445302442929
Transport,22.175049531325442,21.45695176957991,0.7180977617455326
Apparel,3.33150192298087,3.855888466269813,-0.5243865432889434
Household ops,8.677555233671312,8.19818163822236,0.4793735954489513
Utilities,7.886718945107637,8.332508519152187,-0.4457895740445501
Tobacco,0.586051312788239,0.79464954823749,-0.20859823544925105
Personal care,1.6282902951900504,1.8339154164840294,-0.20562512129397903
Education,2.612257130013486,2.40798608656307,0.20427104345041602
Alcohol,1.0705425969398799,1.1933882895239172,-0.12284569258403732
Reading,0.20811481277991442,0.13856878243287193,0.06954603034704249
