basket,pair,from,to,cum_1,cum_2,gap_pp,se_indep,se_corr
all_in,fam,2019-12-01,2026-07-01,25.115707875401007,25.899603011306095,-0.7838951359050874,0.25891796446545867,0.6027817142014615
all_in,par,2019-12-01,2026-07-01,27.638718427775146,24.772971772879583,2.8657466548955632,0.5171010101727838,1.16877269164843
all_in,mk,2019-12-01,2026-07-01,24.772971772879583,25.899603011306095,-1.126631238426512,0.2739698505704046,0.6387942943550562
all_in,fam,2020-12-01,2026-07-01,23.685472588084465,24.268257997732245,-0.58278540964778,0.24887585842125817,0.5363749736477188
all_in,par,2020-12-01,2026-07-01,26.10471323313832,23.356830026951968,2.7478832061863514,0.49591461248371593,1.0319211686508984
all_in,mk,2020-12-01,2026-07-01,23.356830026951968,24.268257997732245,-0.9114279707802773,0.26338273631686004,0.5686176065144696
all_in,fam,2013-12-01,2026-07-01,34.514687744255944,37.6417237135501,-3.1270359692941554,0.30388300351784026,0.9300616690213578
all_in,par,2013-12-01,2026-07-01,38.33371924131901,33.99154986675275,4.342169374566261,0.5988873326632569,1.7746999451976637
all_in,mk,2013-12-01,2026-07-01,33.99154986675275,37.6417237135501,-3.650173846797351,0.3205642725370639,0.9803002719653124
all_in,fam,2010-12-01,2026-07-01,43.21030257627238,46.753516087812066,-3.5432135115396832,NA,NA
all_in,par,2010-12-01,2026-07-01,47.21184510924088,42.66328483638819,4.54856027285269,NA,NA
all_in,mk,2010-12-01,2026-07-01,42.66328483638819,46.753516087812066,-4.090231251423873,NA,NA
ex_shelter,fam,2019-12-01,2026-07-01,24.694698829319073,24.689743783535633,0.004955045783439971,0.2877913143419185,0.6652392991730744
ex_shelter,par,2019-12-01,2026-07-01,26.607567857659518,24.464863030377003,2.1427048272825147,0.5881052732652476,1.3128808587894816
ex_shelter,mk,2019-12-01,2026-07-01,24.464863030377003,24.689743783535633,-0.22488075315862943,0.30209487399601,0.6987871491726341
ex_shelter,fam,2020-12-01,2026-07-01,23.113880238891603,23.06490264702927,0.048977591862332304,0.27640390278162197,0.5910290301762015
ex_shelter,par,2020-12-01,2026-07-01,25.171506457610793,22.866112634664848,2.3053938229459447,0.5634213901483969,1.1548494522353032
ex_shelter,mk,2020-12-01,2026-07-01,22.866112634664848,23.06490264702927,-0.19879001236442306,0.29022825993234197,0.6213135130195133
ex_shelter,fam,2013-12-01,2026-07-01,32.33458863243997,32.94779274833375,-0.6132041158937795,0.33250645807335466,1.0127440486104937
ex_shelter,par,2013-12-01,2026-07-01,33.46123507451486,32.205132427770586,1.2561026467442744,0.6633834995209776,1.9411721810415052
ex_shelter,mk,2013-12-01,2026-07-01,32.205132427770586,32.94779274833375,-0.7426603205631608,0.34861302238934977,1.0604303895198859
ex_shelter,fam,2010-12-01,2026-07-01,40.68147563618074,41.34834150845623,-0.666865872275487,NA,NA
ex_shelter,par,2010-12-01,2026-07-01,41.53358772977893,40.59194262247159,0.9416451073073375,NA,NA
ex_shelter,mk,2010-12-01,2026-07-01,40.59194262247159,41.34834150845623,-0.7563988859846376,NA,NA
ex_housing,fam,2019-12-01,2026-07-01,24.910329572500434,24.83159405518982,0.07873551731061212,0.3525480037926698,0.8177871192340029
ex_housing,par,2019-12-01,2026-07-01,27.21437655325081,24.644346258916137,2.5700302943346713,0.7305958060001829,1.6411678854763665
ex_housing,mk,2019-12-01,2026-07-01,24.644346258916137,24.83159405518982,-0.18724779627368449,0.3692206187164175,0.8571160235626955
ex_housing,fam,2020-12-01,2026-07-01,23.76664989660908,23.641038191714415,0.12561170489466633,0.3384597917834872,0.7239661094366595
ex_housing,par,2020-12-01,2026-07-01,26.32604506659042,23.46969241378185,2.856352652808571,0.6999566910124915,1.439509985071275
ex_housing,mk,2020-12-01,2026-07-01,23.46969241378185,23.641038191714415,-0.1713457779325651,0.35452259744339176,0.759175244836136
ex_housing,fam,2013-12-01,2026-07-01,34.30520469346045,35.41388215605159,-1.1086774625911389,0.4151187807412477,1.2695223730278935
ex_housing,par,2013-12-01,2026-07-01,35.67534595250914,34.15413302113392,1.5212129313752172,0.8387456504199512,2.4786839249685237
ex_housing,mk,2013-12-01,2026-07-01,34.15413302113392,35.41388215605159,-1.2597491349176693,0.43409223267437047,1.3256894308569855
ex_housing,fam,2010-12-01,2026-07-01,44.4483298814756,45.75651291674152,-1.3081830352659196,NA,NA
ex_housing,par,2010-12-01,2026-07-01,45.63534948829504,44.32617909166765,1.309170396627394,NA,NA
ex_housing,mk,2010-12-01,2026-07-01,44.32617909166765,45.75651291674152,-1.4303338250738733,NA,NA
all_in_long,fam,2019-12-01,2026-07-01,28.668141133465742,29.64602288706475,-0.9778817535990072,0.2712616671051949,0.627751067142234
all_in_long,par,2019-12-01,2026-07-01,29.973591249844155,28.48576852531608,1.4878227245280762,0.5350395180917444,1.200347321141152
all_in_long,mk,2019-12-01,2026-07-01,28.48576852531608,29.64602288706475,-1.1602543617486702,0.2866863300869874,0.6648182217799804
all_in_long,fam,2020-12-01,2026-07-01,27.509289868948116,28.241055853557494,-0.7317659846093783,0.25992800285693063,0.5538530544861505
all_in_long,par,2020-12-01,2026-07-01,28.64420225143045,27.35090974443979,1.2932925069906602,0.5124687518225032,1.0543691790279357
all_in_long,mk,2020-12-01,2026-07-01,27.35090974443979,28.241055853557494,-0.8901461091177048,0.27462928647437884,0.5863208550429636
all_in_long,fam,2013-12-01,2026-07-01,35.71210511844167,39.04443785497966,-3.3323327365379924,0.30841867780893467,0.9258636675648535
all_in_long,par,2013-12-01,2026-07-01,38.982886895369106,35.2445905978634,3.7382962975057055,0.6045571643746869,1.7553206972039517
all_in_long,mk,2013-12-01,2026-07-01,35.2445905978634,39.04443785497966,-3.7998472571162623,0.3248622660698891,0.9748483316029064
all_in_long,fam,2010-12-01,2026-07-01,44.09970170598745,47.7517366673857,-3.6520349613982503,NA,NA
all_in_long,par,2010-12-01,2026-07-01,47.70631382666743,43.58274668751938,4.123567139148051,NA,NA
all_in_long,mk,2010-12-01,2026-07-01,43.58274668751938,47.7517366673857,-4.168989979866318,NA,NA
ex_shelter_long,fam,2019-12-01,2026-07-01,28.761084085448907,29.42506797795601,-0.6639838925071047,0.30408573330751565,0.6992189407391285
ex_shelter_long,par,2019-12-01,2026-07-01,29.44912103177981,28.68244401171294,0.7666770200668722,0.6141128157623489,1.3592665841793432
ex_shelter_long,mk,2019-12-01,2026-07-01,28.68244401171294,29.42506797795601,-0.7426239662430731,0.3183992151272025,0.7332555776117587
ex_shelter_long,fam,2020-12-01,2026-07-01,27.466607280098575,28.092045053021163,-0.625437772922588,0.2908280514498103,0.6145394784199384
ex_shelter_long,par,2020-12-01,2026-07-01,28.279637540627522,27.371996815489787,0.9076407251377354,0.5873197686592376,1.187807963076586
ex_shelter_long,mk,2020-12-01,2026-07-01,27.371996815489787,28.092045053021163,-0.7200482375313761,0.3045070897706067,0.644575357418594
ex_shelter_long,fam,2013-12-01,2026-07-01,33.54871420889729,34.319078339763664,-0.7703641308663762,0.33759519513210334,1.0058360039541283
ex_shelter_long,par,2013-12-01,2026-07-01,33.900306569125526,33.51386887888916,0.3864376902363631,0.6708121555485395,1.91045493841061
