basket,pair,months,mean_gap,mean_abs_gap,common_months,mean_abs_gap_common,weight_source_disc,disc_ratio,se_months,mean_se,share_sig
all_in,fam,186,-0.15448803109145745,0.3024535201924807,160,0.3224722480444507,0.46808121690075294,0.6889237089657121,150,0.05559242096302929,0.9066666666666666
all_in,par,186,0.19767623558809894,0.3000480810084047,160,0.3179666431035447,0.46808121690075294,0.679298018426924,150,0.10504128363623898,0.5866666666666667
all_in,mk,186,-0.1785206830559888,0.33490459481544266,160,0.3585290758632666,0.46808121690075294,0.7659548448390001,150,0.05860280201001762,0.9133333333333333
ex_shelter,fam,186,-0.026283664325122587,0.1137214366628476,160,0.12065339911505882,0.5658957881569406,0.21320780546540816,150,0.06192713942125869,0.5066666666666667
ex_shelter,par,186,0.03315835740689803,0.22028597719616944,160,0.23558017439422868,0.5658957881569406,0.41629603775897855,150,0.11903152829289176,0.49333333333333335
ex_shelter,mk,186,-0.029304715254513492,0.10779162276755466,160,0.11363013744355811,0.5658957881569406,0.20079693085124167,150,0.06465140314408781,0.4666666666666667
ex_housing,fam,186,-0.05417643651111988,0.1606684000118315,160,0.1678638944231849,0.69954544562397325,0.23996138560155358,150,0.07603008639054501,0.58
ex_housing,par,186,0.05287087172874129,0.2754933676837979,160,0.2958711523182032,0.69954544562397325,0.4229477215083505,150,0.14980159851356756,0.4533333333333333
ex_housing,mk,186,-0.05902540714707471,0.14998953654210953,160,0.15816878649651037,0.69954544562397325,0.2261022317934307,150,0.07919661516420892,0.5666666666666667
all_in_long,fam,330,-0.15155996366470542,0.2573080456502486,160,0.33412204481390567,0.10734237922978401,3.112675973938145,150,0.05496037932723986,0.9133333333333333
all_in_long,par,330,0.1640778108393923,0.3115472085245333,160,0.35436794167815167,0.10734237922978401,3.301286446423633,150,0.10145919079507916,0.84
all_in_long,mk,330,-0.17216184549292024,0.2934561546186537,160,0.376399513789368,0.10734237922978401,3.5065322428117875,150,0.057976350880716426,0.92
ex_shelter_long,fam,330,-0.04715703479486797,0.09004004291805554,160,0.0897675648618323,0.15415717182537508,0.5823119599230743,150,0.06134799185716037,0.4
ex_shelter_long,par,330,0.02592572347829589,0.1468612984654339,160,0.1391307737404214,0.15415717182537508,0.9025254686043724,150,0.11487742515237444,0.3
ex_shelter_long,mk,330,-0.049797124000366434,0.0990359433004705,160,0.09880586823566198,0.15415717182537508,0.6409424035593134,150,0.06402435693302415,0.41333333333333333
pm_all_in,fam,160,-0.196170572225332,0.3192446439017188,160,0.3192446439017188,0.12717689125260254,2.5102409781948953,150,0.051299520277504645,0.9133333333333333
pm_all_in,par,160,0.22163906801771477,0.29652116581722465,160,0.29652116581722465,0.12717689125260254,2.3315648220105136,150,0.09672621604805141,0.7333333333333333
pm_all_in,mk,160,-0.22348306874843946,0.35317745639707865,160,0.35317745639707865,0.12717689125260254,2.7770568451432505,150,0.054027196131472235,0.92
pm_ex_shelter,fam,160,-0.045830215022244776,0.09535648611233709,160,0.09535648611233709,0.13312446676007567,0.7162957225901522,150,0.056463499030642524,0.4866666666666667
pm_ex_shelter,par,160,0.01434658136686228,0.14623530072814703,160,0.14623530072814703,0.13312446676007567,1.0984855322778526,150,0.10866189501641653,0.3466666666666667
pm_ex_shelter,mk,160,-0.04673519261084427,0.09995961759151958,160,0.09995961759151958,0.13312446676007567,0.7508733745515944,150,0.05889662000726908,0.44
oer_all_in,fam,139,-0.15480643997833735,0.26696669101780124,139,0.26696669101780124,0.4213062263481949,0.6336642430657138,139,0.04920203102334585,0.8992805755395683
oer_all_in,par,139,0.10498300931282085,0.1731303186078671,139,0.1731303186078671,0.4213062263481949,0.4109370044409952,139,0.09836906178602066,0.3237410071942446
oer_all_in,mk,139,-0.16658022014755233,0.27729670491879366,139,0.27729670491879366,0.4213062263481949,0.6581832585821259,139,0.05158305757500912,0.8992805755395683
pm_oer_all_in,fam,139,-0.15336533495196686,0.2625713970456526,139,0.2625713970456526,0.09467239681455475,2.7734736404738976,139,0.045758596838198544,0.9064748201438849
pm_oer_all_in,par,139,0.07296189329601206,0.11287449906880768,139,0.11287449906880768,0.09467239681455475,1.1922640903441728,139,0.09095382451685242,0.17266187050359713
pm_oer_all_in,mk,139,-0.16149563041402482,0.2711418291939249,139,0.2711418291939249,0.09467239681455475,2.8640008948441458,139,0.047952882635202775,0.9064748201438849
