dim,code,label,n_cu,people,kids,age,exp_2019,exp_2024,people_2024,income_2019,base_nonshelter,rentval_2019,base_cpi,consumption_2019,cum_nonshelter,cum_cpi,cum_ex_shelter_old,eq_scale,dollars_nonshelter,dollars_cpi,dollars_old,per_person,per_equiv_adult,pct_of_income,exp_over_income,income_usable
LB06,04,Married couple with children,30392,4,1.5,44.2,89900,113585,4,132212,59459,17496,82059,75130,27.370198664803237,29.320207076877814,24.464863030377003,2,16274.046424105356,24059.868725215165,21993.911864308924,4068.511606026339,8137.023212052678,12.309053961898584,0.6799685353825674,TRUE
LB06,09,"One parent, child under 18",6423,3,1.7,39.8,48615,61857,3,46173,33348,6228,46459,43680,28.442662214498824,30.245188290647263,26.607567857659518,1.7320508075688772,9485.058995291069,14051.612027951813,12935.269114001174,3161.6863317636894,5476.20136421078,20.5424360455051,1.0528880514586447,FALSE
LB06,10,Single person and other CUs,61179,1.6,NA,53,44564,56587,1.7,50573,29114,8976,43985,39084,27.892781333966088,30.107703996290745,24.689743783535633,1.2649110640673518,8120.704357570887,13242.873602768483,11002.73741969482,5075.4402234818035,6419.980493694607,16.05739101411996,0.8811816581970616,TRUE
LB06,01,All consumer units,132242,2.5,0.6,51.6,63036,78535,2.4,82852,41685,13164,60242,53876,27.40818978374808,29.618593857648023,24.0505768665777,1.5811388300841898,11425.103911355387,17842.833311724324,15160.52163361592,4570.041564542154,7225.870172796302,13.78977443073841,0.7608265340607347,TRUE
LB01,02,Lowest income quintile,26367,1.6,NA,56.5,28672,35046,1.6,12029,20393,6540,31498,27404,28.260558766190847,30.480891931632172,24.315201221627202,1.2649110640673518,5763.1757491892995,9600.871340625501,6971.654494264952,3601.984843243312,4556.190480821371,47.91068043219968,2.383573031839721,FALSE
LB01,06,Highest income quintile,26536,3.2,0.8,49.2,121571,150342,3.2,218670,75487,25128,106788,97053,26.17872800586487,28.638442319032542,23.36607962179251,1.7888543819998317,19761.536409787215,30582.41978364847,28406.376657009376,6175.480128058504,11047.034688030339,9.037150230844292,0.5559564640782915,TRUE
LB17,05,Renters,47951,2.2,0.6,43.8,46614,57108,2.2,52089,28798,24,41213,41321,28.055198669984406,NA,25.362611741114204,1.4832396974191326,8079.33611298211,NA,11822.527837002976,3672.425505900959,5447.087296166843,15.510637779535235,0.8948914358117837,TRUE
LB17,02,Homeowners,84291,2.6,0.6,55.9,72388,90117,2.6,100352,49029,20628,71069,61028,27.205073346023447,NA,23.63202463755565,1.61245154965971,13338.375410821836,NA,17106.74999463378,5130.1443887776295,8272.109269662553,13.291589017480305,0.7213408801020408,TRUE
