variant,basket,g1,g2,from,to,cum1,cum2,gap,se_indep,se_persist,se_bound,z_indep,z_bound,p_indep,p_persist,p_bound,mean_gap_12m,variant_label
headline,oer,F1,10,2019-12-01,2026-07-01,29.421613301772155,30.10770399629088,-0.6860906945187253,0.1839967571924109,0.11408522308938523,0.4286560133683287,-3.728819491102551,-1.6005623929721762,1.9237889102073684e-4,1.8117525880231906e-9,0.10947387732537803,-0.10540758729050584,Headline (D-30)
headline,oer,K1,10,2019-12-01,2026-07-01,29.271546615487743,30.10770399629088,-0.8361573808031366,0.20737606384840454,0.13414986877647614,0.48358416920460773,-4.032082417257095,-1.7290834441053688,5.528479088861327e-5,4.575589714366387e-10,0.08379416178787819,-0.12381023475565933,Headline (D-30)
headline,exsh,F1,10,2019-12-01,2026-07-01,27.480506938821826,27.89278133396593,-0.4122743951441059,0.24270843828290142,0.14791991942141103,0.5613798185956357,-1.698640550204349,-0.7343947564332891,0.08938693114515456,0.005317453436791727,0.4627081816531868,-0.05043428191351119,Headline (D-30)
headline,exsh,K1,10,2019-12-01,2026-07-01,27.223790708118067,27.89278133396593,-0.6689906258478651,0.27262650095926066,0.1696702433710977,0.6311886667402297,-2.453872325302059,-1.0598901106746155,0.014132714948940974,8.050653592929587e-5,0.2891945952084017,-0.08433341232457414,Headline (D-30)
fin_veh,oer,F1,10,2019-12-01,2026-07-01,29.354171859042832,30.06018386565501,-0.7060120066121769,0.18443744792799538,0.11408844555369295,0.42943547740668286,-3.8279211436920604,-1.6440467631498719,1.2923014282524667e-4,6.08216471586526e-10,0.10016654330311245,-0.1089083811265331,Vehicle finance charges removed (5)
fin_veh,oer,K1,10,2019-12-01,2026-07-01,29.202667413855508,30.06018386565501,-0.8575164517995013,0.20785005028817088,0.13406745481493082,0.484486367580844,-4.125649479567646,-1.769949598543475,3.696899696548116e-5,1.5933646990312154e-10,0.07673553729605645,-0.12752175836466548,Vehicle finance charges removed (5)
fin_veh,exsh,F1,10,2019-12-01,2026-07-01,27.369591328417098,27.804750760173324,-0.43515943175622596,0.2434021030354558,0.14765215678755567,0.5622121544403355,-1.7878211664130006,-0.7740128496322061,0.07380486481670198,0.003206727882335188,0.43892319252888123,-0.0544560755138343,Vehicle finance charges removed (5)
fin_veh,exsh,K1,10,2019-12-01,2026-07-01,27.109281336754233,27.804750760173324,-0.695469423419091,0.27334472647217917,0.16908607772058667,0.6321449133869319,-2.5442942777601947,-1.1001740403048985,0.010949879092880109,3.9036639892793216e-5,0.2712562990326811,-0.08889346134720356,Vehicle finance charges removed (5)
fin_all,oer,F1,10,2019-12-01,2026-07-01,29.39775608353099,30.11137191323472,-0.7136158297037305,0.18504935647290208,0.11337351356137877,0.43076966528642074,-3.8563540198435096,-1.6566065050779377,1.1509077545525351e-4,3.086334952720879e-10,0.09759905632752199,-0.11007703630882523,All separable finance charges removed (5)
fin_all,oer,K1,10,2019-12-01,2026-07-01,29.25278969839422,30.11137191323472,-0.8585822148404993,0.20853980856628776,0.1333556156562453,0.4859563330247363,-4.117114237052659,-1.7667888172100343,3.836459358553665e-5,1.2082645560521666e-10,0.07726360222021711,-0.12788265308210692,All separable finance charges removed (5)
