year,cat_id,rse_impl,rse_pub,group
2012,05,0.014663507616137073,0.018867102396514162,01
2013,05,0.017202070870366393,0.02113095238095238,01
2014,05,0.02311660382758959,0.02599054125065686,01
2015,05,0.016345291459701875,0.019534762153685308,01
2016,05,0.013351416720178049,0.014489588623666836,01
2017,05,0.01647329216660887,0.02230992736077482,01
2018,05,0.018449537943842388,0.024095454545454545,01
2019,05,0.01714847853369594,0.019082908754052802,01
2020,05,0.019158899719132958,0.020841478963025923,01
2021,05,0.016467541974300223,0.018812121212121214,01
2022,05,0.016956237004535333,0.022459143968871595,01
2023,05,0.016028064989901378,0.01660915228807202,01
2024,05,0.016380095493065412,0.021672753834915997,01
2012,03,0.03336117815882763,0.03696230598669623,01
2013,03,0.03251759363505221,0.03896629213483146,01
2014,03,0.03167757025640828,0.03779697624190065,01
2015,03,0.03787592751692341,0.04227184466019417,01
2016,03,0.03281929712402644,0.03442148760330579,01
2017,03,0.03423152135698854,0.03553763440860215,01
2018,03,0.03643431748552928,0.031783876500857636,01
2019,03,0.03575174929606416,0.03915371329879102,01
2020,03,0.04350409581481131,0.04368200836820083,01
2021,03,0.04041574451108882,0.04167870036101083,01
2022,03,0.027027417596905124,0.029193825042881646,01
2023,03,0.03381971007776465,0.03486656200941916,01
2024,03,0.03737526142531956,0.035147744945567654,01
2012,40,0.04352014669072004,0.05624673288029273,01
2013,40,0.043870378511418714,0.05294438386041439,01
2014,40,0.03924727484071359,0.048803131991051456,01
2015,40,0.033084446374791,0.03759758108851017,01
2016,40,0.09959998058003038,0.10237385872176838,01
2017,40,0.03846357206743956,0.05122263747997864,01
2018,40,0.03974449472067232,0.04806673728813559,01
2019,40,0.04372591635305333,0.05485213032581454,01
2020,40,0.06893248089484821,0.07703022339027596,01
2021,40,0.06225374997014739,0.06785507246376812,01
2022,40,0.11689310286281672,0.1337350272232305,01
2023,40,0.07321834070798629,0.08155172413793103,01
2024,40,0.08239929390010431,0.08890488656195462,01
2012,29,0.022754514396628428,0.027106796116504857,01
2013,29,0.020819991953010795,0.02023404255319149,01
2014,29,0.024788575840676005,0.030576131687242797,01
2015,29,0.022274288883345043,0.023694117647058824,01
2016,29,0.023014984751876078,0.028833693304535637,01
2017,29,0.02575955511585637,0.025658436213991772,01
2018,29,0.023144819524012046,0.025838509316770186,01
2019,29,0.030020388699161512,0.028641975308641977,01
2020,29,0.037456929023446446,0.0423109243697479,01
2021,29,0.028457551741421654,0.02857429718875502,01
2022,29,0.09123201586936103,0.09513821138211381,01
2023,29,0.06507605447455356,0.06291032148900169,01
2024,29,0.028328922214041343,0.03724924012158055,01
2012,10,0.009830155961458842,0.01615994236311239,01
2013,10,0.010240890588235903,0.013270042194092828,01
2014,10,0.010000497478365436,0.013591644204851754,01
2015,10,0.007306819484632263,0.010157534246575343,01
2016,10,0.007216400265896424,0.011170360110803324,01
2017,10,0.008323927059844628,0.011725352112676056,01
2018,10,0.009101307893183586,0.01211898395721925,01
2019,10,0.009262552867145096,0.01220108695652174,01
2020,10,0.009868979715336837,0.013918205804749341,01
2021,10,0.009916708418022144,0.015138620245003225,01
2022,10,0.009075218037723208,0.013713606654783125,01
2023,10,0.010759615446372764,0.01584231423709586,01
2024,10,0.011791674158648013,0.016666666666666666,01
2012,34,0.07012062909036276,0.07049586776859504,01
2013,34,0.09011432339286025,0.06674220963172804,01
2014,34,0.0987384780951009,0.08894348894348895,01
2015,34,0.10587400738789396,0.10788079470198675,01
2016,34,0.08130631765210962,0.08844827586206895,01
2017,34,0.09862159100872184,0.10475792988313856,01
2018,34,0.15949936553768143,0.15535830618892507,01
2019,34,0.10462523450050365,0.08799485861182518,01
2020,34,0.17253717599005797,0.17519861830742658,01
2021,34,0.1335995378346882,0.1325081081081081,01
2022,34,0.09455600107571073,0.11388252148997134,01
2023,34,0.09115537573685656,0.11226646248085759,01
2024,34,0.08691404154743132,0.08835937499999999,01
2012,31,0.02616243934822511,0.03307817589576547,01
2013,31,0.029707491743056744,0.036572934973637956,01
2014,31,0.033908042791402415,0.041855345911949685,01
2015,31,0.031166839816042388,0.03858895705521472,01
2016,31,0.02898229101433764,0.03211453744493392,01
2017,31,0.031159300981283396,0.043546666666666664,01
2018,31,0.03140326851765306,0.04090078328981723,01
2019,31,0.13958482108440948,0.1416818181818182,01
2020,31,0.039857693801029846,0.04915294117647059,01
2021,31,0.061755185385895875,0.06599388379204893,01
2022,31,0.03634200183013533,0.04495798319327732,01
2023,31,0.03743029709469065,0.07112513144058885,01
2024,31,0.03970087903632829,0.042545454545454546,01
2012,02,0.014584505135624516,0.017079910380881254,01
2013,02,0.01591217256063984,0.019401904761904763,01
2014,02,0.01647873708680407,0.018310010764262648,01
2015,02,0.014973290217840671,0.015565159574468084,01
2016,02,0.017715208868626608,0.020526315789473684,01
2017,02,0.01658738945434192,0.01739970282317979,01
2018,02,0.016800310050542683,0.01803411390575311,01
2019,02,0.01908764257845536,0.018959160521837774,01
2020,02,0.023858947015989,0.026833684210526315,01
2021,02,0.019213907344078834,0.0213993399339934,01
2022,02,0.020073037869636403,0.021401483924154988,01
2023,02,0.017689334462309653,0.017551487414187644,01
2024,02,0.018556487037411917,0.01870722433460076,01
2012,01,0.012029094175679756,0.01351185921958684,01
2013,01,0.01302082327900453,0.015863716369122455,01
2014,01,0.011998048599161155,0.014253336691009822,01
2015,01,0.011635195193671502,0.012478206724782068,01
2016,01,0.011991668199467478,0.013662632748826871,01
2017,01,0.011095015123450753,0.011482924593169838,01
2018,01,0.013294378262091545,0.01426747311827957,01
2019,01,0.014628822888355214,0.017088089597243162,01
2020,01,0.016947235851328468,0.02020841764467827,01
2021,01,0.014485397968313461,0.01913861950941244,01
2022,01,0.014273929774995172,0.01576714010170086,01
2023,01,0.012993042276124817,0.014027754832314554,01
2024,01,0.014339202911639965,0.019008676092544988,01
2012,21,0.04094766100240295,0.037204610951008646,01
2013,21,0.04425618918565561,0.048306188925081435,01
2014,21,0.04840293233440562,0.04656675749318801,01
2015,21,0.05175792869831491,0.0546045197740113,01
2016,21,0.046951801209007174,0.04860824742268041,01
2017,21,0.047186198507244405,0.05424802110817942,01
2018,21,0.04823993209108697,0.043061224489795914,01
2019,21,0.059674804930196154,0.06372315035799522,01
2020,21,0.07971198787257655,0.08203821656050955,01
2021,21,0.05177636473598076,0.051726190476190474,01
2022,21,0.0630417280322154,0.06318295739348372,01
2023,21,0.04788066626137907,0.04912162162162162,01
2024,21,0.052789595340573085,0.05661605206073753,01
2023,24,0.010684214658142462,0.01330363771343727,01
2024,24,0.011159253057164855,0.013062381852551984,01
2012,24,0.007867187191865051,0.009067489114658926,01
2013,24,0.008538061074611598,0.009601685178092685,01
2014,24,0.008533577999113277,0.009756888168557536,01
2015,24,0.00833392378644762,0.011564593301435408,01
2016,24,0.00862825028031607,0.011974855945521215,01
2017,24,0.009387746604818623,0.01304369918699187,01
2018,24,0.008768944172006618,0.011062114746325272,01
2019,24,0.009006593930380903,0.010238777459407832,01
2020,24,0.009884423609042693,0.011536989795918367,01
2021,24,0.010209611684135655,0.012206703910614524,01
2022,24,0.011014725593953433,0.013801282051282051,01
2012,17,0.021594605139686356,0.022943037974683545,01
2013,17,0.023641752083571037,0.027256809338521402,01
2014,17,0.02521176410624848,0.029165085388994306,01
2015,17,0.025507092149330706,0.030935093509350937,01
2016,17,0.02747857661403827,0.02858939311098961,01
2017,17,0.027214269065684513,0.029466532460996477,01
2018,17,0.03941599616655544,0.04100246913580247,01
2019,17,0.03405049461772145,0.03265967588179218,01
2020,17,0.060152041782012965,0.058789428815004256,01
2021,17,0.0310645180812139,0.032898926323583856,01
2022,17,0.027047985658473436,0.02756331542594014,01
2023,17,0.028117281032204986,0.02930223285486443,01
2024,17,0.026062889203016346,0.031242750621375312,01
2012,15,0.018615801910897296,0.019759797724399494,01
2013,15,0.017319993821182902,0.01627577319587629,01
2014,15,0.0192138964107353,0.020408415841584156,01
2015,15,0.02183399599781283,0.02515873015873016,01
2016,15,0.015218536264527086,0.018619201725997844,01
2017,15,0.016341207432228985,0.02220966084275437,01
2018,15,0.016603312518174887,0.020447619047619048,01
2019,15,0.01612961527981831,0.01901017576318224,01
2020,15,0.021698725452046923,0.02474060822898032,01
2021,15,0.020084014475354142,0.022680412371134023,01
2022,15,0.01732507920761631,0.023034533431300516,01
2023,15,0.018165279249863317,0.023233449477351918,01
2024,15,0.019766349750180042,0.0236608442503639,01
2012,16,0.019443958059674204,0.02439344262295082,01
2013,16,0.026752805957303567,0.027643410852713175,01
2014,16,0.02464457793589207,0.02947784810126582,01
