dimension,gap_label,basket,months,mean_gap,mean_abs_gap,weight_source_disc,disc_ratio,mean_se,share_sig,cum_focus,cum_ref,cum_gap,ci95_indep,ci95_corr
tenure,Renters minus homeowners,all_in,186,0.5069480837595497,0.7162479948776633,0.4680812169007533,1.716379729584234,0.06532586934658569,0.9545454545454546,27.83687287675567,23.523446936987625,4.313425939768045,NA,NA
tenure,Renters minus homeowners,ex_shelter,186,0.0525980913420158,0.20761070829541547,0.5658957881569405,0.37885659229053303,0.07976603737920698,0.5454545454545454,25.362611741114204,23.632024637555627,1.7305871035585767,NA,NA
tenure,Renters minus homeowners,ex_housing,186,0.0670394376527497,0.28669198674123325,0.69954544562397325,0.4215825857527566,0.0972029590459745,0.6212121212121212,25.92702356429857,23.56414198597838,2.362881578320188,NA,NA
tenure,Renters minus homeowners,pm_ex_shelter,160,0.025964904713287402,0.11251462929729311,0.13312446676007567,0.8451836994027044,0.07536688292072878,0.45454545454545453,28.055198669984406,27.205073346023447,0.8501253239609596,NA,NA
tenure,Renters minus homeowners,pm_oer_all_in,55,0.031833297358093815,0.1889352400540431,0.10013221945253878,1.8868576077412893,0.052225277499132604,0.6727272727272727,NA,NA,NA,NA,NA
income_quintile,Lowest minus highest income quintile,all_in,186,0.327623235964762,0.43662115973223403,0.4680812169007533,1.0329565272933452,0.07702724622603727,0.94,25.71181216949272,23.729978750495896,1.9818334189968247,0.7327987390881326,1.6898880207351217
income_quintile,Lowest minus highest income quintile,ex_shelter,186,0.12185924175280179,0.29085786505648736,0.5658957881569405,0.5418460576957661,0.08965860856333005,0.7533333333333333,24.315201221627202,23.36607962179251,0.9491215998346902,0.8481836552574946,1.932580435161506
income_quintile,Lowest minus highest income quintile,ex_housing,186,0.12491363696966742,0.355847085534063,0.69954544562397325,0.5139414990964071,0.11182492312612875,0.7133333333333334,23.864019244514,23.56247938802123,0.30153985649277004,1.0621577543439906,2.421778038383254
income_quintile,Lowest minus highest income quintile,pm_ex_shelter,160,0.14273819630708948,0.24503611367605993,0.13312446676007567,1.8406542361418632,0.08045274172126336,0.7333333333333333,28.260558766190847,26.178728005864848,2.0818307603259996,0.8061192415147557,1.770378875030693
income_quintile,Lowest minus highest income quintile,pm_oer_all_in,139,0.2517061782274125,0.33876090355932087,0.09467239681455475,3.5782436587391904,0.0620279484406878,0.9712230215827338,30.480891931632147,28.638442319032542,1.842449612599605,0.5934856907376728,1.3178798375014453
income_decile,Lowest minus highest income decile,all_in,115,0.45991391373741025,0.5338070700065007,0.5718690589974741,0.9334428250801002,0.12160982349680838,0.8434782608695652,26.31680449016478,23.434650990195706,2.8821534999690748,1.0681910807899375,2.379781971512984
income_decile,Lowest minus highest income decile,ex_shelter,115,0.2268251577502633,0.33407718151643756,0.7079697413766252,0.47188059318302905,0.1407745727999969,0.5652173913043478,24.91115033755915,23.02856181117312,1.88258852638603,1.2464467202743426,2.7548671567920846
income_decile,Lowest minus highest income decile,ex_housing,115,0.24736634024850968,0.4088100766505321,0.8769786866597986,0.4661573683250976,0.17606078389371335,0.5652173913043478,24.76016846498137,23.207232671579337,1.5529357934020318,1.5528223821179787,3.4279620084632265
income_decile,Lowest minus highest income decile,pm_ex_shelter,115,0.24752645636916176,0.3102723600786555,0.11014353435152742,2.8169820580517153,0.1268192958184994,0.5652173913043478,28.20379194884164,25.582904709973107,2.6208872388685336,1.2181890020762007,2.6176938261111493
income_decile,Lowest minus highest income decile,pm_oer_all_in,115,0.2903064264584947,0.33338318604751843,0.09240124121878487,3.607994672475706,0.09587082847923985,0.808695652173913,30.294531743153463,28.236035361951295,2.0584963812021684,0.8963181742326405,1.959468262553492
cu_size,Four-person minus one-person CUs,all_in,186,-0.15649009397042554,0.4594634509084107,0.4680812169007533,1.0255211703993343,0.07614413721909102,0.94,25.441824388336308,25.43801800450247,0.0038063838338366907,0.6960322119118252,1.624851524530082
cu_size,Four-person minus one-person CUs,ex_shelter,186,-0.004000034576644893,0.24907150823561935,0.5658957881569405,0.4491261973599951,0.08481864886014155,0.7066666666666667,24.984232580218404,23.92232777182086,1.0619048083975429,0.7700286550837071,1.780077075081766
cu_size,Four-person minus one-person CUs,ex_housing,186,-0.040219144307568136,0.3523710552430447,0.69954544562397325,0.5206977497799036,0.10440499513391145,0.6933333333333334,25.275000993819585,23.908125202008,1.3668757918115837,0.9457437942274561,2.195276021117376
cu_size,Four-person minus one-person CUs,pm_ex_shelter,160,-0.04491529876311207,0.20477540683778864,0.13312446676007567,1.5382251799501763,0.07793017066609248,0.6066666666666667,27.82951327096297,27.462606933628606,0.3669063373343633,0.7565195090662948,1.7332038113732804
cu_size,Four-person minus one-person CUs,pm_oer_all_in,139,-0.206549308414686,0.4435446604839277,0.09467239681455475,4.685047335948909,0.06349032661649849,0.9280575539568345,29.659233751175407,30.06469332620414,-0.40545957502873264,0.5884615369005579,1.3506563715858053
family,Families with children minus single/other CUs,all_in,186,-0.15448803109145745,0.3024535201924807,0.46808121690075294,0.6889237089657121,0.05559242096302929,0.9066666666666666,25.115707875401007,25.899603011306095,-0.7838951359050874,0.507479210352299,1.1814521598348646
family,Families with children minus single/other CUs,ex_shelter,186,-0.02628366432512258,0.1137214366628476,0.5658957881569406,0.21320780546540816,0.06192713942125869,0.5066666666666667,24.694698829319073,24.689743783535633,0.00495504578343997,0.5640709761101603,1.3038690263792259
family,Families with children minus single/other CUs,ex_housing,186,-0.05417643651111988,0.1606684000118315,0.69954544562397325,0.2399613856015536,0.07603008639054501,0.58,24.910329572500434,24.83159405518982,0.07873551731061212,0.6909940874336328,1.6028627536986457
family,Families with children minus single/other CUs,pm_ex_shelter,160,-0.04583021502224477,0.09535648611233707,0.1331244667600757,0.7162957225901522,0.05646349903064252,0.4866666666666667,27.480506938822025,27.892781333966088,-0.4122743951440633,0.5454928893931819,1.241861219940941
family,Families with children minus single/other CUs,pm_oer_all_in,139,-0.15336533495196686,0.2625713970456526,0.09467239681455476,2.7734736404738976,0.04575859683819854,0.9064748201438848,29.42161330177211,30.107703996290724,-0.6860906945186152,0.4234611989220818,0.9667817397241936
