major,ri_major,ri_covered,ri_unmapped,pct_covered
SAF,14.327,14.327,0,100
SAH,45.485,17.294,28.191,38.021325711773116
SAA,2.515,2.515,0,100
SAT,15.755,15.175000000000002,0.5799999999999983,96.31862900666457
SAM,7.997,7.997999999999999,-9.999999999994458e-4,100.01250468925846
SAR,5.217,5.2,0.01699999999999946,99.67414222733372
SAE,5.781,5.622,0.1589999999999998,97.2496107939803
SAG,2.921,2.5920000000000005,0.3289999999999993,88.73673399520715
