cat_id,major,cat_label,gap_total,gap_tenure_pred,gap_net_of_ten,pct_of_gap_tenure
07,Housing,Rented dwellings,-10.122166262487168,-7.434000344975427,-2.688165917511741,73.44278045032607
04,Housing,Owned dwellings: mortgage interest and charges,3.0795096034556186,1.7438548399636526,1.335654763491966,56.627679874965025
23,Transport,Vehicle purchases (net outlay),1.6531639714374808,0.5527497337148611,1.1004142377226196,33.43586862918546
37,Education,Education,1.5467563131719055,0.07669016494819235,1.4700661482237132,4.958128458575688
14,Household ops,Personal services (childcare proxy),1.4511459228624153,0.08170478709732307,1.3694411357650922,5.630363274298334
01,Food,Food at home,1.0709834955355433,-0.16614824291136318,1.2371317384469065,-15.513613758191584
02,Food,Food away from home,1.0302718160706936,-0.003537954188510075,1.0338097702592037,-0.34340007494365093
05,Housing,Owned dwellings: property taxes,0.9060089328477416,1.3091039762498373,-0.4030950434020957,144.4912879760577
31,Entertainment,Fees and admissions,0.7945400689868585,0.1536105536008874,0.6409295153859711,19.333267080760418
39,Miscellaneous,Miscellaneous,-0.6678755752293339,0.062121384014002363,-0.7299969592433363,-9.301340896119944
24,Transport,Gasoline and other fuels,0.5223090764202896,0.002701083213154473,0.5196079932071351,0.5171426910033201
32,Entertainment,Audio and visual equipment and services,-0.49155252123339355,0.04217977533780069,-0.5337322965711943,-8.580929507179428
10,Utilities,Electricity,-0.48530322297604167,0.051026075888290744,-0.5363292988643324,-10.514266848545077
38,Tobacco,Tobacco products and smoking supplies,-0.43002990821264425,-0.04544974538571526,-0.384580162826929,10.568973115060858
15,Household ops,Other household expenses,-0.36851087915188274,0.18177222936097007,-0.5502831085128528,-49.32615009340122
08,Housing,Other lodging,0.3514922291918763,0.30605150205940673,0.04544072713246955,87.0720535594931
19,Apparel,Apparel: women and girls,0.30184343114879353,0.004829468561433461,0.29701396258736007,1.5999912746329663
33,Entertainment,"Pets, toys, hobbies, and playground equipment",0.2916590142222226,0.1873972473351654,0.10426176688705721,64.25217058176798
25,Transport,Other vehicle expenses,0.26832833125474753,0.051345321507731245,0.2169830097470163,19.13525913109214
06,Housing,"Owned dwellings: maintenance, repairs, insurance",-0.2306196473059936,1.379064068184992,-1.6096837154909855,-597.9820385186893
26,Transport,Public and other transportation,-0.20320298954126392,0.02862709000341886,-0.2318300795446828,-14.087927578253284
20,Apparel,Apparel: children under 2,0.1948447026838936,-0.00677390610695331,0.2016186087908469,-3.4765667291160383
18,Apparel,Apparel: men and boys,0.19342816688275033,-0.035943124515651015,0.22937129139840134,-18.582156412327752
29,Health,Drugs,-0.18566781423053502,0.06927418148549513,-0.25494199571603016,-37.310818664284284
27,Health,Health insurance,-0.17555561890544258,0.46950252901604417,-0.6450581479214867,-267.4380529334847
03,Alcohol,Alcoholic beverages,-0.13283427051821084,0.022269841944687944,-0.1551041124628988,-16.765132866548072
22,Apparel,Other apparel products and services,-0.09548393224671914,-0.041329359586560074,-0.054154572660159064,43.284098815463445
09,Utilities,Natural gas,-0.09016984487912705,0.07828250079660581,-0.16845234567573286,-86.81671893917944
12,Utilities,Telephone services,-0.08965918409604035,-0.024803927067710455,-0.0648552570283299,27.664680777310217
21,Apparel,Footwear,0.07592277323597241,-0.06289377360932617,0.1388165468452986,-82.83914157593883
35,Personal care,Personal care products and services,0.05844163137430569,0.021488899398171092,0.0369527319761346,36.76984863844655
13,Utilities,Water and other public services,-0.057907333562879915,0.18280779869990807,-0.24071513226278798,-315.6902372329099
36,Reading,Reading,0.031518025757307916,0.012635289166968247,0.01888273659033967,40.08908827050682
11,Utilities,Fuel oil and other fuels,-0.03101549314550492,0.04758061102736438,-0.0785961041728693,-153.4091713587996
34,Entertainment,"Other entertainment supplies, equipment, services",0.023472497196553754,0.13102395257771923,-0.10755145538116548,558.2020160895205
30,Health,Medical supplies,-0.019025643816447058,0.03640488391863072,-0.05543052773507778,-191.3463968412983
28,Health,Medical services,0.013592556582475712,0.16944883239959724,-0.15585627581712153,1246.6295900365071
17,Household ops,Household furnishings and equipment,0.012385142455683784,0.2839352008952306,-0.2715500584395468,2292.5469118437727
16,Household ops,Housekeeping supplies,0.004962438763481014,0.08139655597967448,-0.07643411721619346,1640.2531065708715
