price_input,basket,pair,months,mean_gap_12m,mean_abs_gap_12m,sd_monthly_gap_ann,cum_1,cum_2,cum_gap
cpiu_nsa,pm_oer_all_in,fam,139,-0.15336533495196686,0.2625713970456526,0.6140934256510714,29.42161330177211,30.107703996290724,-0.6860906945186152
cpiu_nsa,pm_oer_all_in,par,139,0.07296189329601206,0.11287449906880768,0.48216936681827843,30.245188290647263,29.320207076877814,0.9249812137694491
cpiu_nsa,pm_ex_shelter,fam,160,-0.045830215022244776,0.09535648611233709,0.39980040732349065,27.480506938822025,27.892781333966088,-0.4122743951440633
cpiu_nsa,pm_ex_shelter,par,160,0.01434658136686228,0.14623530072814703,0.6973041723322814,28.442662214498824,27.370198664803258,1.0724635496955663
cpiu_nsa,ex_shelter,fam,186,-0.026283664325122587,0.1137214366628476,0.42107179214938656,24.694698829319073,24.689743783535633,0.004955045783439971
cpiu_nsa,ex_shelter,par,186,0.03315835740689803,0.22028597719616944,0.744321125776629,26.607567857659518,24.464863030377003,2.1427048272825147
cpiw_nsa,pm_oer_all_in,fam,139,-0.15877180091651405,0.2593428199429056,0.6252552170037794,29.440009938395683,30.244677622985392,-0.8046676845897096
cpiw_nsa,pm_oer_all_in,par,139,0.07783918155193471,0.1153894326873624,0.48414765072189736,30.34009780227267,29.32907407362313,1.0110237286495405
cpiw_nsa,pm_ex_shelter,fam,160,-0.051137145568625336,0.0967225685691751,0.41568846007819765,27.45233860660088,27.965532411948104,-0.5131938053472247
cpiw_nsa,pm_ex_shelter,par,160,0.01399974936749562,0.15321961286506428,0.6994140149475809,28.424459121511127,27.340794252181254,1.0836648693298727
cpiw_nsa,ex_shelter,fam,186,-0.032719059700681744,0.11882978930260366,0.4356005647525578,24.938850431419812,25.074446892914782,-0.13559646149496984
cpiw_nsa,ex_shelter,par,186,0.027695991887286914,0.2282457269070991,0.7507863893235391,26.813131321621775,24.71372178363982,2.0994095379819555
cpiu_sa,pm_oer_all_in,fam,139,-0.15267894261740056,0.2589021686861501,0.4488070897215102,28.092357076607822,28.958713634488586,-0.8663565578807635
cpiu_sa,pm_oer_all_in,par,139,0.0721459256544774,0.11664315502103927,0.3978470178269099,28.936323230541117,27.98846902223606,0.9478542083050563
cpiu_sa,pm_ex_shelter,fam,160,-0.04413482979819422,0.08931232017712168,0.30165835226031723,25.904745895256976,26.29917539052087,-0.3944294952638927
cpiu_sa,pm_ex_shelter,par,160,0.017346284201413837,0.13601515835592914,0.5332017783551768,26.78668798919819,25.80329976024629,0.9833882289518989
cpiu_sa,ex_shelter,fam,173,-0.036742500221172,0.1077780001100925,0.32759592086069667,23.17309825569307,23.158737564318898,0.014360691374172063
cpiu_sa,ex_shelter,par,173,0.041227381622245124,0.2265400219481211,0.5964910019461833,24.989037762744037,22.9541126965761,2.0349250661679363
